,Row,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Altered Title
30,1163,journalArticle,2013,"Blackwood, Robert","French, language policy and new media.",Sociolinguistica,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=92707633&site=ehost-live,"The article examines the national standards of French language across the breadth of online media including online social networks and electronic message boards. Differences in usage patterns and goals for language between top-down and bottom-up linguistic construction are described, legislation pertaining to the commercial use of French is discussed, and the language used in the French version of the online encyclopedia Wikipedia and the online communication platform Twitter are examined using French musican David Guetta as an example. (English)","Twitter (Web resource); Online social networks; France; Text messages; Internet forums; History; Wikipedia; Language & the Internet; Guetta, David, 1967-; Language policy; Standards",SocIndex,12,,,,,,,,"French, language policy and new media."
31,835,journalArticle,2013,"Bruns, Axel; Highfield, Tim",POLITICAL NETWORKS ON TWITTER.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=87844694&site=ehost-live,"This paper examines patterns of political activity and campaigning onTwitterin the context of the 2012 election in the Australian state of Queensland. Social media have been a visible component of political campaigning in Australia at least since the 2007 federal election, withTwitter, in particular, rising to greater prominence in the 2010 federal election. At state level, however, they have remained comparatively less important thus far. In this paper, uses ofTwitterin the Queensland campaign from its unofficial start in February through to the election day of 24 March 2012 are tracked. Using innovative methodologies for analysing Twitter activities, developed by the research team, this study examines the overall patterns of activity in the relevant hashtag #qldvotes, and tracks specific interactions between politicians and other users by following some 80 Twitter accounts of sitting members of parliament and alternative candidates. Such analysis provides new insights into the different approaches to social media campaigning which were embraced by specific candidates and party organizations, as well as an indication of the relative importance of social media activities, at present, for state-level election campaigns. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Political participation; Elections; Australia; social media; Computer network resources; politics; Social media & politics; elections; Queensland; Internet in political campaigns; Queensland politics & government,SocIndex,268,,,,,,,,POLITICAL NETWORKS ON TWITTER.
32,300,journalArticle,2013,"Cherribi, Sam; Pesce, Matthew","Youth and the ""Arab Spring"": the Case of Morocco.",Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=111791104&site=ehost-live,"What role do the current generation of Moroccan youth have in their countries future and the political and social climate after the Arab Spring? Is the relative stability of Morocco during Arab Spring due to the so-called Moroccan exception? This paper investigates the relationship between media and political, religious, as well as social values in mobilizing or demobilizing young Moroccans. Using data from the World Values Survey, the political and social climate leading up the Arab Spring is analyzed. Salient questions relating to the role of the Moroccan youth are addressed based on analysis of data. Why are young Moroccans not asking for regime change like the many of their peers in Tunisia, Egypt, Yemen and Syria? Are the nature of their political claims similar or different to the claims of youth in other Arab countries? [ABSTRACT FROM AUTHOR]",twitter; media; Arab Spring; politics; mobilization; YouTube; values; change; February 20; Islamists; Moroccan youth; protesters; texting; World Values Survey,SocIndex,6,,,,,,,,"Youth and the ""Arab Spring"": the Case of Morocco."
33,820,journalArticle,2013,"Christensen, Christian",WAVE-RIDING AND HASHTAG-JUMPING.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=87844699&site=ehost-live,"With the description of the 2012 election as the ‘most tweeted’ political event in US history in mind, considering the relative media invisibility of the so-called ‘third-party’ presidential candidates in the US election process, and utilizing the understanding of retweeting as conversational practice, the purpose of this paper is to examine the use of Twitter by the four main ‘third-party’ US presidential candidates in the run-up to the 2012 presidential election in order to better understand (1) the volume of tweets produced by the candidates; (2) the level of interaction by followers in the form of retweeting candidate/party tweets; and, (3), the subject and content of the tweets most retweeted by followers of the respective parties. The ultimate goal of the paper is to generate a broader picture of how Twitter was utilized by minority party candidates, as well as identifying the issues which led followers (and their respective followers) to engage in the ‘conversational’ act of retweeting. [ABSTRACT FROM AUTHOR]","Twitter (Web resource); Microblogs; twitter; United States; social media; Social interaction; Political communication; politics; media studies; Presidential candidates; third party; United States presidential election, 2012",SocIndex,122,,,,,,,,WAVE-RIDING AND HASHTAG-JUMPING.
34,3,journalArticle,2013,"Dunne, Mary",An alcohol and other drugs library: building capacity and adding value.,Addiction,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=84943470&site=ehost-live,"The article discusses The Irish National Drugs Strategy (INDS) in the context of an editorial by Mitchell et al about the shutting down of addiction libraries and databases in the U.S. The author states that INDS provides online access to research material some of which is provided through twitter, rich site summary (RSS) and a national news letter. The library also provides training sessions to students at certificate, diploma, and postgraduate levels.",internet; information dissemination; Alcohol and drugs; Alcoholism; digital repositories; evidence based practice; Information resources & economics; librarians; libraries; Libraries; library; research to practice; services,SocIndex,N/A,,,,,,,,An alcohol and other drugs library: building capacity and adding value.
35,769,journalArticle,2013,"Earl, Jennifer; McKee Hurwitz, Heather; Mejia Mesinas, Analicia; Tolan, Margaret; Arlotti, Ashley",THIS PROTEST WILL BE TWEETED.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86995041&site=ehost-live,"This article examines the use of Twitter at protests surrounding the G20 meetings held in Pittsburgh, PA in September 2009. Based on work on information communication technologies and protest, and on more recent work on Twitter usage at protests, we develop several hypotheses about the content of tweets during protests. Most significantly, we argue that Twitter is a widely available mobile social networking tool that can be used to reduce information asymmetries between protesters and police. Examining the content of 30,296 tweets over a nine-day period, we find that protesters frequently used Twitter to share information, including information about protest locations, as well as the location and actions of police, which is information that was formerly monopolized by the police. Twitter use may be creating a new dynamic in protester and police interaction toward information symmetries. We conclude by identifying implications for policing practices and for protesters. [ABSTRACT FROM AUTHOR]",Social networks; Twitter (Web resource); Twitter; Social movements; protest; information asymmetry; protest policing; repression; Police attitudes; Communication & technology; Monopolies; Repression (Psychology),SocIndex,204,,,,,,,,THIS PROTEST WILL BE TWEETED.
36,590,journalArticle,2013,"Enli, GS; Skogerbo, E",PERSONALIZED CAMPAIGNS IN PARTY-CENTRED POLITICS: Twitter and Facebook as arenas for political communication,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2013.782330,,"Social media like Facebook and Twitter place the focus on the individual politician rather than the political party, thereby expanding the political arena for increased for personalized campaigning. The need to use social media to communicate a personal image as a politician and to post personalized messages online seems less obvious in a party-centred system such as the Norwegian. Within this framework, the personalized and dialogical aspects of social media may be contradicted by the political parties' structural communication strategies. The article uses data from interviews and status updates from two Norwegian election campaigns and asks for what purposes Norwegian politicians use social media as a tool for political communication. The findings show that politicians' report both marketing and dialogue with voters as motives for their social media use and their practices varied, too. Politicians' reported motive to use social media for marketing purposes was reflected in their actual use. The preferred social media platform for marketing purposes was Facebook. Twitter was more used for continuous dialogue compared to Facebook. Social media marketing was personalized and involved private exposure and individual initiatives. The article concludes by indicating hypotheses and need for further research.",Twitter; social media; Facebook; CANDIDATES; election campaigns; ELECTION NEWS COVERAGE; Norway; SWEDEN,WOS,917,,,,,,,,PERSONALIZED CAMPAIGNS IN PARTY-CENTRED POLITICS: Twitter and Facebook as arenas for political communication
37,1440,journalArticle,2013,"John, Nicholas A.",Sharing and Web 2.0: The emergence of a keyword.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=85788277&site=ehost-live,"The article discusses the attributes of Web 2.0 Internet technology in the context of sharing users' personal information through social networking sites. It highlights the emergence of sharing features of various social networking sites including Facebook, Flickr, and Twitter through which users can share their pictures and other on-going activities at a click of web-based links. It highlights that the Web 2.0 based Internet technology has increased the participation of users in various political, social and other community cause. It also discusses various aspects of sharing personal information of users online.",Twitter (Web resource); Facebook (Web resource); Online social networks; Web 2.0; Hyperlinks; Flickr (Web resource),SocIndex,592,,,,,,,,Sharing and Web 2.0: The emergence of a keyword.
38,1138,journalArticle,2013,"Lubarsky, Jilian",Join the #AGS13 Twitter Conversation.,Journal of the American Geriatrics Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86699612&site=ehost-live,The article reports on opportunities which members of the American Geriatrics Society have to become annual meeting Twitter correspondents for the society's 2013 annual general meeting and presents information on joining the online social media site Twitter.,Social media; Conferences & conventions; American Geriatrics Society; Business networks,SocIndex,N/A,,,,,,,,Join the #AGS13 Twitter Conversation.
39,1023,journalArticle,2013,"Marres, Noortje; Weltevrede, Esther",SCRAPING THE SOCIAL?,Journal of Cultural Economy,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=89600567&site=ehost-live,"This paper investigates the device of scraping, a technique for the automated capture of online data, and its application in social research. We ask how this ‘medium-specific’ technique for data collection may be rendered analytically productive for social research. We argue that, as a technique that is currently beingimportedinto social research, scraping has the capacity to re-structure research in at least two ways. Firstly, as a technique that is not native to social research, scraping risks introducing ‘alien’ analytic assumptions such as a pre-occupation with freshness. Secondly, to scrape is to risk importing into our inquiry categories that are prevalent in the social practices and devices enabled by online media: scraping makes availablealready formatteddata for social research. Scraped data, and online social data more generally, tend to come with analytics already built in. The pre-ordered nature of captured online data is often approached as a ‘problem’, but we propose it may be turned into a virtue, insofar as data formats that have currency in the practices under scrutiny may serve as a source of social data themselves. Scraping, we propose, makes it possible to render traffic between the object and process of social research analytically productive. It enables a form of ‘live’ social research, in which the formats and life cycles of online data may lend structure to the analytic objects and findings of social research. We demonstrate this point in an exercise of online issue profiling, and more particularly, by relying on Twitter and Google to track the issues of ‘austerity’ and ‘crisis’ over time. Here we distinguish between two forms of real-time research, those dedicated to monitoringlivecontent (which terms are current?) and those concerned with analysing thelivelinessof issues (which topics are happening?). [ABSTRACT FROM AUTHOR]",Acquisition of data; digital methods; science and technology studies; Social processes; Web analytics; digital social research; Online profiling; automated information extraction; information formats; live sociology; Online data processing; real-time research,SocIndex,466,,,,,,,,SCRAPING THE SOCIAL?
