,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Misinformation or Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
383,journalArticle,2022.0,"Wodak, Ruth",Shameless normalization as a result of media control: The case of Austria.,Discourse & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=159606441&site=ehost-live,"Far-right populist parties instrumentalize the media and intervene into processes of mediatization in significantly different ways, depending on socio-political contexts, their position of power, their role in government or opposition and – related to the latter – their specific access to media. In this paper, I focus on one of the many ways propagandistic tools are employed to control the relevant agenda and information being disseminated by both traditional media and online, in other words 'message control'. Message control illustrates one of many steps of normalization of far-right agenda. The concept of 'message control' emerged from the specific propaganda tool developed by the former Austrian Chancellor Sebastian Kurz and his followers and implies launching and thus controlling select information via weekly press conferences, briefings, personal conversations, back-ground conversations (Hintergrundgespräche), and text messages, and to financially subsidize only those media that reported favorably about the activities of Kurz's government. Thus, a new media logic based on favoritism, nepotism, and clientelism was established and normalized. This stands in contrast to Trumpism, which delegitimized all investigative journalism without explicitly attempting to control it. Former US President Donald Trump constitutes rather a prime example of Löwenthal and Guterman', as he instrumentalized far-right and extreme-right media channels (such as Breitbart or Fox News) and extensively used Twitter to spread systematic disinformation. [ABSTRACT FROM AUTHOR]","Practical politics; Politicians; Populism; Mass media; Austria; Trump, Donald, 1946-; Argumentation; propaganda; press freedom; 'arrogance of ignorance'; discourse-historical approach; message control; Music orchestration; orchestration; scape-goating; shameless normalization; Trumpism Orbánism",SocIndex,6,,,,,,,
384,journalArticle,2022.0,"Statham, Simon; Ringrow, Helen",Wrap our arms around them here in Ireland': Social media campaigns in the Irish abortion referendum.,Discourse & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=158146201&site=ehost-live,"The 8th Amendment to the Irish Constitution, which codified a near-absolute ban on abortion in Ireland, was ratified in 1983 and removed after a high profile campaign to 'Repeal the 8th' in 2018. This article analyses the language of the pro-choice group Together for Yes and the anti-choice groups Love Both and Pro-Life Ireland that campaigned to 'Save the 8th'. We combine an application of the Appraisal framework with an account of conceptual metaphor in a Critical Discourse Analysis of the language of both campaigns on the social network platform Twitter. Both sides of the 'Repeal Referendum' strategically utilised language across a wide range of semiotic modes. This article assesses the specific role of social media language in the Irish abortion referendum and connects these strategies to the wider campaign tactics of both sides. [ABSTRACT FROM AUTHOR]",Social media; Social networks; social media; Critical discourse analysis; metaphor; Ireland; 8th Amendment; abortion; Abortion; appraisal,SocIndex,2,,,,,,,
385,journalArticle,2022.0,"Fryer, Daniel Lees",#AllCatsAreBeautiful: Ambient affiliation and the visual-verbal representation and appreciation of cats in online subversive discourses.,Discourse & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154664590&site=ehost-live,"This paper investigates the topics and affiliations associated with the hashtag #AllCatsAreBeautiful on the social media platform Twitter. Drawing on concepts from social semiotics (systemic functional theory) and critical animal studies, the paper identifies a number of potentially overlapping topics or fields, including anti-policing, the commodification of nonhuman animals, gender and sexism, and body image or body-shaming, as well as a more general positive appreciation or admiration of cats. The paper discusses how people position themselves in relation to those topics, through patterns of ideational and attitudinal meanings, and how cats are represented and appreciated visually, verbally and intersemiotically. Cats, in this context, play an important role in struggles for social justice, symbolizing freedom and resistance as well as love and solidarity. #AllCatsAreBeautiful highlights topics or spaces around which bonds can be made and communities of shared values or interests can be co-constructed. [ABSTRACT FROM AUTHOR]",Social media; hashtags; social media; social justice; Social justice; Tags (Metadata); Sexism; Public shaming; Ambient affiliation; bonding; cats,SocIndex,1,,,,,,,
386,journalArticle,2015.0,"Chiluwa, Innocent; Ifukor, Presley",‘War against our Children’: Stance and evaluation in #BringBackOurGirls campaign discourse on Twitter and Facebook.,Discourse & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=102290018&site=ehost-live,"The #BringBackOurGirls social media campaign on Twitter and Facebook was not only a global campaign for the release of the Nigerian schoolgirls kidnapped by Boko Haram, but also a campaign for the rights of female children and girls to formal education. This article applies the appraisal framework and (critical) discourse analysis to examine the discursive features of this campaign and the role of affective stance in the evaluation of social actors in the campaign discourse. Findings reveal that #BringBackOurGirls (https://twitter.com/hashtag/BringBackOurGirls?src=hash) campaign exhibits a great deal of affect at the level of vocabulary reflecting moods, feelings and emotional language in the representations of persons, groups and governments. Most of the evaluations reflect negative valence, which is often typical of public reactions to (social) media reports of crisis, or national disasters. The article argues that social media campaigns and activisms can be fruitful if they are followed up by practical offline actions; otherwise, they will end up as mere skacktivism. Some of the campaigners themselves argued that the campaign could not have been successful if the girls were not rescued. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); ideology; Nigeria; Facebook (Web resource); Online social networks; discourse; campaign; education; Social advocacy; #BringBackOurGirls; affect; Boko Haram; Boko Haram (Organization); Crimes against girls; Education of girls; evaluation; judgement; kidnapped; Kidnapping; representation; schoolgirls; Schoolgirls; stance; terrorist,SocIndex,163,,,,,,,
387,journalArticle,2021.0,"Bouvier, G; Machin, D",What gets lost in Twitter 'cancel culture' hashtags? Calling out racists reveals some limitations of social justice campaigns,DISCOURSE & SOCIETY,10.1177/0957926520977215,,"Twitter campaigns attacking those who make racist or xenophobic statements are valuable, raising the public profile of opinions that will not tolerate racism in any form. They also indicate how our major institutions are failing to address important matters of social justice. But there is concern that social media, such as Twitter, tends to extremes, moral outrages, lack of nuance and incivility, which shape how issues become represented. In this paper, using Critical Discourse Analysis, we look at three Twitter hashtags calling-out racist behaviour. We ask how racism and anti-racism is represented on these hashtags? We show how these misrepresent fundamental aspects of racism in society, distracting from, what race theorists would argue, is the most important thing these incidents tell us about racism at this present time. The findings have consequences for all such Twitter social justice campaigns.",Twitter; hashtags; POLITICS; FACEBOOK; social justice; Affective communities; call-outs; cancel culture; discourse analysis; incivility; moral outrages; racism,WOS,48,,,,,,,
388,journalArticle,2015.0,"Chiluwa, I; Ifukor, P",War against our Children': Stance and evaluation in #BringBackOurGirls campaign discourse on Twitter and Facebook,DISCOURSE & SOCIETY,10.1177/0957926514564735,,"The #BringBackOurGirls social media campaign on Twitter and Facebook was not only a global campaign for the release of the Nigerian schoolgirls kidnapped by Boko Haram, but also a campaign for the rights of female children and girls to formal education. This article applies the appraisal framework and (critical) discourse analysis to examine the discursive features of this campaign and the role of affective stance in the evaluation of social actors in the campaign discourse. Findings reveal that #BringBackOurGirls (https://twitter.com/hashtag/BringBackOurGirls?src=hash) campaign exhibits a great deal of affect at the level of vocabulary reflecting moods, feelings and emotional language in the representations of persons, groups and governments. Most of the evaluations reflect negative valence, which is often typical of public reactions to (social) media reports of crisis, or national disasters. The article argues that social media campaigns and activisms can be fruitful if they are followed up by practical offline actions; otherwise, they will end up as mere skacktivism. Some of the campaigners themselves argued that the campaign could not have been successful if the girls were not rescued.",ideology; Nigeria; discourse; campaign; EMOTIONS; education; #BringBackOurGirls; affect; Boko Haram; evaluation; judgement; kidnapped; representation; schoolgirls; stance; terrorist,WOS,163,,,,,,,
389,journalArticle,2020.0,"Kissas, A",Performative and ideological populism: The case of charismatic leaders on Twitter,DISCOURSE & SOCIETY,10.1177/0957926519889127,,"Taking Donald Trump's and Jeremy Corbyn's use of Twitter as paradigmatic case studies, this article demonstrates that the charismatic leader features as a distinct mode of the performativity of populism. Particularly, the leader is performed as a persona, such as Trump's 'defiant' and Corbyn's 'ordinary' persona, which authentically embodies the mission to save the people from their own enemies, in this case, the mission of national palingenesis (#MAGA and #DrainTheSwamp) and moral vindication (#ForTheMany), respectively. Central to charismatic performances is an affective dynamic which both renders the claim to authenticity convincing and allow for 'the people' to be enacted as a concrete political subject. It does so, however, not in an ahistorical and presupposition-less manner, as some post-ideological approaches to performativity imply, but through discursively patterned emotions with profound ideological ramifications. Therefore, populism is better understood as a performative ideology which deserves our close analytical attention if we are to understand its progressive-democratic or reactionary-undemocratic potential.",SOCIAL MEDIA; POLITICAL COMMUNICATION; Twitter; ideology; Trump; populism; performativity; PEOPLE; Authenticity; BREXIT; charisma; Corbyn; emotion; intertextuality; PARTY; TRUMP; UKIP,WOS,41,,,,,,,
390,journalArticle,2020.0,"McGlashan, M",Collective identity and discourse practice in the followership of the Football Lads Alliance on Twitter,DISCOURSE & SOCIETY,10.1177/0957926519889128,,Previous studies of online (collective) identity have explored how social media-specific practices like hashtags can enable identity construction and affiliation with a wider community of users. Practices such as mentioning and retweeting have also been discussed in the literature but the practice of following as a discourse practice is underexplored. This article presents a corpus-based Critical Discourse Analytical approach to the study of collective identity on Twitter that focuses on the relationships between following and language use and details a study conducted on the language used by followers of the Football Lads Alliance - a protest group who say they are 'against all extremism'. This approach was fruitful in identifying correlations between salient discourses in follower profile descriptions and their tweets and suggests that a portion of the followership constructs identity in relation to radical right-wing and populist discourse specifically concerning Islam/Muslims.,Twitter; identity; social media; Community of Practice; Corpus Linguistics; corpus-based Critical Discourse Analysis; corpus-based Critical Discourse Studies; Discourse Analysis; discourse communities; LINGUISTICS,WOS,12,,,,,,,
391,journalArticle,2021.0,"Levy, H; Mercea, D",Exploring narrative linearity between Twitter and the news: Echoes of the Arab Spring in Brazil,DISCOURSE & SOCIETY,10.1177/09579265211023223,,"This article explores the use of narrative theory as an analytical framework to investigate the extent to which popular hashtags and the news can develop into intersecting stories. It juxtaposes the case of hashtag-based reports seen during the Arab Spring to understand the coverage of notorious political episodes in Brazil. Namely, the 2016 impeachment of Dilma Rousseff and the 2018 election of Jair Bolsonaro. Here, narrative linearity emerges as a tool to observe the borrowing of Twitter hashtags in several journalistic pieces. It is contended that the linearity of authorship, narration and representation of time appears as a satisfactory pathway to trace the development of hashtags into popular news stories. Results suggested that hashtags can significantly follow narratives and agendas in journalism but differing from their original social media context.",MEDIA; social media; Arab Spring; Brazil; Journalism; JOURNALISTS; narrative linearity,WOS,2,,,,,,,
392,journalArticle,2022.0,"Esposito, E; Breeze, R",Gender and politics in a digitalised world: Investigating online hostility against UK female MPs,DISCOURSE & SOCIETY,10.1177/09579265221076608,,"This paper investigates digital discursive practices of hostility against women in UK politics through quantitative and qualitative analysis of a corpus of Twitter data retrieved across the 3 weeks preceding the UK General Elections in December 2019. A mixed-methods approach was designed. First, we used quantitative semantic analysis to compare the large datasets of tweets about female and male MPs, with a view to detecting possible gendered patterns. We then triangulated our quantitative findings with an in-depth critical discursive analysis of the tweets mentioning female MPs. Rather than showing gendered patterns across the board, the results from the quantitative analysis brought out large inter-individual differences. Some female MPs received comments containing more lexis related to appearance, sexual history and violence, as well as more emotional or extreme language. Critical analysis of the hostile and abusive messages targeting women reveals them to be deeply embedded in a social perception of women's political activity as breaching the rules of gender performativity.",2019 UK elections; cyberviolence; gender and politics; online hostility; semantic analysis; social media critical discourse studies; UK politics,WOS,3,,,,,,,
