,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
551,journalArticle,2013.0,"Graham, T; Broersma, M; Hazelhoff, K; van't Haar, G",BETWEEN BROADCASTING POLITICAL MESSAGES AND INTERACTING WITH VOTERS: The use of Twitter during the 2010 UK general election campaign,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2013.785581,,"Politicians across Western democracies are increasingly adopting and experimenting with Twitter, particularly during election time. The purpose of this article is to investigate how candidates are using it during an election campaign. The aim is to create a typology of the various ways in which candidates behaved on Twitter. Our research, which included a content analysis of tweets (n=26,282) from all twittering Conservative, Labour and Liberal Democrat candidates (n=416) during the 2010 UK General Election campaign, focused on four aspects of tweets: type, interaction, function and topic. By examining candidates' twittering behaviour, the authors show that British politicians mainly used Twitter as a unidirectional form of communication. However, there were a group of candidates who used it to interact with voters by, for example, mobilizing, helping and consulting them, thus tapping into the potential Twitter offers for facilitating a closer relationship with citizens.",NEWS; MEDIA; Twitter; social media; content analysis; politicians; UK; election campaign; PARTIES,WOS,524,,,,,,,
552,journalArticle,2020.0,"Guo, L; Rohde, JA; Wu, HD",Who is responsible for Twitter's echo chamber problem? Evidence from 2016 US election networks,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2018.1499793,,"This study examined the echo chamber phenomenon and opinion leadership on Twitter based on the 2016 U.S. presidential election. Network analysis and 'big data' analytics were employed to analyze more than 50 million tweets about the two presidential candidates, Donald Trump and Hillary Clinton, during the election cycle. Overall, the results suggested that Twitter communities discussing Trump and Clinton differed significantly in the level of political homogeneity and opinion leadership, and that certain opinion leaders were responsible of creating homogeneous communities on Twitter. This study made a theoretical contribution to the literature by linking opinion leadership and Twitter's network structure and shedding light on what may have caused the echo chamber problem to happen in an emerging media landscape.",SOCIAL MEDIA; TWEET; Twitter; big data; network analysis; opinion leader; political homophily; presidential election; OPINION LEADERS; BIRDS; FEATHER; 2-STEP FLOW; INFLUENTIALS,WOS,112,,,,,,,
553,journalArticle,2015.0,"Murthy, D","Twitter and elections: are tweets, predictive, reactive, or a form of buzz?",INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2015.1006659,,"The popular microblogging social media platform Twitter has been prominently covered in the press for its perceived role in activism, disaster recovery, and elections amongst other things. In the case of elections, Twitter has been used actively by candidates and voters alike in a diverse range of elections around the world including the 2010 UK elections, the 2012 US presidential elections, and the 2013 Italian elections. However, Twitter has often been found to be a poor predictor of electoral success. This article investigates what role tweets play during elections and whether they are more reactive than predictive. Using the specific case of the 2012 US Republican presidential primary elections, this article explores how candidate's Twitter presence affects electoral outcomes and whether the sentiment and frequency of candidate-related tweets is related to campaign success and offline success at the ballot box. This study finds that tweets were more reactive rather than predictive. Additionally, sentiment analysis revealed that tweets were generally neutral towards candidates. An interesting finding of our study is how candidates used Twitter to generate 'buzz', political capital that did not translate to success at the ballot box. We specifically explore how Huntsman's daughters used YouTube videos and tweets that were perceived as a 'backstage' look into the campaign and ultimately generated high levels of buzz. Though tweets do not seem to be reflective or predictive of an election campaign offline, they are being used for social media campaigns which can and do get covered by traditional media.",SOCIAL MEDIA; IMPACT; ONLINE; Twitter; social media; NETWORKS; elections; buzz; CAMPAIGN; political sentiment; Republican; social media strategy; WEB 2.0,WOS,123,,,,,,,
554,journalArticle,2018.0,"Quinlan, S; Gummer, T; Rossmann, J; Wolf, C","""Show me the money and the party!' - variation in Facebook and Twitter adoption by politicians",INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2017.1301521,,"Our study explores the adoption of Facebook and Twitter by candidates in the 2013 German Federal elections. Utilizing data from the German Longitudinal Election Study candidate survey fused with data gathered on the Twitter and Facebook use of candidates, we draw a clear distinction between Facebook and Twitter. We show that adoption of both channels is primarily driven by two factors: party and money. But the impact of each plays out differently for Facebook and Twitter. While the influence of money is homogenous for Facebook and Twitter with the more resources candidates have, the more likely they are to adopt, the effect is stronger for Facebook. Conversely, a party's impact on adoption is heterogeneous across channels, a pattern we suggest is driven by the different audiences Facebook and Twitter attract. We also find candidates' personality traits only correlate with Twitter adoption, but their impact is minimal. Our findings demonstrate that social media adoption by politicians is far from homogenous, and that there is a need to differentiate social media channels from one another when exploring motivations for their use.",Social media; SOCIAL MEDIA; ONLINE; Twitter; Facebook; politics; COMMUNICATION; media studies; heterogeneity of social media; CANDIDATES; CAMPAIGN; NETWORKING; ELECTIONS; GERMAN; PERSONALITY; SWEDISH,WOS,64,,,,,,,
555,journalArticle,2014.0,"Humphreys, L; Gill, P; Krishnamurthy, B",Twitter: a content analysis of personal information,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2013.848917,,"Social media provide many opportunities to connect people, but the kinds of personally identifiable information that people share through social media is understudied. This paper presents findings from a content analysis in which we coded the amount and kinds of personally identifiable information of public Twitter messages. Overwhelmingly, public Twitter messages do not include identifiable information such as phone numbers, email, and home addresses. Using Goffman's [(1963). Behaviors in public places: Notes on the social organization of gatherings. New York, NY: Free Press] concepts of public order and civil inattention, we also coded for whether people articulate the kinds of information that are communicated with others in public space, including locational, temporal, and activity-related information. Our findings suggest that people do share similar kinds of personal information on Twitter that they do in others kinds of physical public spaces, suggesting that people may also be mapping old practices for public social interaction onto networked publics.",Twitter; social media; COMMUNICATION; civil inattention; location; privacy; public order,WOS,53,,,,,,,
556,journalArticle,2013.0,"Ausserhofer, J; Maireder, A",NATIONAL POLITICS ON TWITTER: Structures and topics of a networked public sphere,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2012.756050,,"The increasing use of Twitter by politicians, journalists, political strategists and citizens has made it an important part of the networked sphere in which political issues are publicly negotiated. The growing number of studies investigating the relationship between Twitter and politics supports this claim. To the knowledge of the authors, this is the first study that examines the interrelation of individuals on the basis of their professions, their topics and their connection to mass media. Taking the example of Austria, they developed a user-centred method that overcomes the limitations inherent to other approaches in this field. The different types of data they gathered Twitter user data, 1,375 newspaper articles and manually coded 145,356 tweets allowed them to perform several analyses which provided insights into the structure and topics of a national public Twittersphere. Their results show that the network formed by Austria's most relevant political Twitter users is dominated by an elite of political professionals but open to outside participation. The topic analysis reveals the emergence of niche authorities and the periodic divergence of the political discourse on Twitter with that of mass media. The article concludes with a summary of how these phenomena relate to political participation.",SOCIAL MEDIA; social media; INTERNET; politics; journalism; participation; mass media; Twitter networks,WOS,535,,,,,,,
557,journalArticle,2019.0,"Ure, C; Galpin, A; Cooper-Ryan, AM; Condie, J",Charities' use of Twitter: exploring social support for women living with and beyond breast cancer,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2017.1402943,,"Twitter is one social media platform that enables those experiencing breast cancer to access support from others. This study explores how cancer charities provide support to women living with and beyond breast cancer (LWBBC) through their Twitter feeds. Seven hundred and seventy-two tweets from seven purposively sampled cancer charities were used to explore Twitter posts made relating to social support. Two questions were posed: (1) what type of support is positioned by cancer charities on Twitter for women LWBBC and (2) what themes emerge from tweet content pertaining to support for women LWBBC? Using a peer-reviewed typology of social support' [Rui, J., Chen, Y., & Damiano, A.(2013). Health organizations providing and seeking social support: A twitter-based content analysis. Cyberpsychology, Behavior, And Social Networking, 16(9), 669-673. doi:10.1089/cyber.2012.0350], a deductive content analysis was utilised to identify informational, instrumental or emotional social support tweets (n=199). Over half (56%) of tweets offered informational support; 27% provided or sought instrumental support and 18% related to emotional support. Interestingly, 74.3% (n=573) of tweets were not related to providing or seeking social support. An inductive qualitative thematic analysis of the 199 tweets identified the focus (i.e., themes) of support. Three themes were identified: (1) raising awareness, (2) focusing on the future and (3) sharing stories. Cancer charities predominantly use Twitter to signpost women to informational resources and to seek instrumental support to meet charitable objectives. As the number of women LWBBC continues to increase, this study provides valuable insight into how charities represent themselves on Twitter in relation to the social support needs of women LWBBC.",MEDIA; twitter; tweets; Breast cancer; CARE NEEDS; charities; HEALTH; living with and beyond; MANAGEMENT; NETWORKING SITES; NONPROFIT ORGANIZATIONS; PREVALENCE; social support; UNITED-KINGDOM; UNMET NEEDS; YOUNG-WOMEN,WOS,12,,,,,,,
558,journalArticle,2018.0,"Lee-Won, RJ; White, TN; Potocki, B","The Black catalyst to tweet: the role of discrimination experience, group identification, and racial agency in Black Americans' instrumental use of Twitter",INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2017.1301516,,"The strong presence of Blacks on Twitter has attracted scholarly attention, but few empirical studies have provided a clear, theory-driven answer to the question of how Blacks use Twitter. Drawing on the uses and gratifications framework and the rejection-identification model, we examined how discrimination experience, group identification, and racial agency influence Black Americans' instrumental use of Twitter. An online survey conducted with a national adult sample of 323 Black American Twitter users showed that the experience of discrimination in everyday settings indirectly predicted three types of instrumental use of Twitter (information seeking, opinion expression, and social networking) through serial mediation of group identification and racial agency. The direct effects of discrimination experience on the three types of instrumental use were not significant, nor were the indirect effects of discrimination experience on instrumental use only through group identification and only through racial agency. These results indicate that Black Americans' goal-driven, purposeful use of Twitter may be understood as a form of problem-focused coping with discrimination experience. The current findings also suggest that Black users' identification with their racial group and desire to make a positive difference in the Black community constitute a pivotal mechanism underlying their instrumental use of Twitter.",Twitter; IDENTITY; COMMUNICATION; Black Americans; discrimination; group identification; instrumental use; racial agency; KNOWLEDGE; AFRICAN-AMERICANS; AUDIENCE ACTIVITY; GRATIFICATIONS; MINORITY STATUS; ORIENTATION; PERCEIVED DISCRIMINATION; VITALITY,WOS,19,,,,,,,
559,journalArticle,2019.0,"Groggel, A; Nilizadeh, S; Ahn, YY; Kapadia, A; Rojas, F",Race and the beauty premium: Mechanical Turk workers' evaluations of Twitter accounts,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2018.1543443,,"Race, gender, and physical attractiveness strongly affect perceptions of trustworthiness and subsequent face-to-face interactions. This study examines how social media users' perceived gender, race, and physical attractiveness can impact their standing online. We test these broad hypotheses by having Amazon Mechanical Turk (MTurk) workers evaluate a sample of 816 Twitter accounts. Our results show a beauty premium,' where MTurk workers say they are more likely to follow Twitter accounts with attractive profile photos, and attractive photos are positively associated with evaluations of trust. However, very attractive Black male and female Twitter accounts are associated with lower evaluations of trust compared to their White counterparts. These findings suggest that social media users' social characteristics, perceived from their username or profile image, can replicate offline inequality online.",Social media; twitter; race,WOS,11,,,,,,,
560,journalArticle,2016.0,"Heravi, BR; Harrower, N",Twitter journalism in Ireland: sourcing and trust in the age of social media,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2016.1187649,,"Twitter has been widely adopted into journalistic workflows, as it provides instant and widespread access to a plethora of content about breaking news events, while also serving to disseminate reporting on those events. The content on Twitter, however, poses several challenges for journalists, as it arrives unfiltered, full of noise, and at an alarming velocity. Building on the results of the first national survey of social media use in Irish newsrooms, this paper investigates the adoption of social media into journalistic workflows, journalists' attitudes towards various aspects of social media, and the content and perspectives generated by these online communities. It particularly investigates how Twitter shapes the processes of sourcing and verification in newsrooms, and assesses how notions of trust factor into the adoption of the Twitter platform and content into these processes. The paper further analyses relationships between journalist profile and adopted practices and attitudes, and seeks to understand how Twitter operates in the current journalistic landscape. While this paper draws its data from a survey of journalists in Ireland, the analysis of the relationship between trust, sourcing, and verification reveals broader patterns about journalistic values, and how these values and practices may operate in the field of journalism as a whole.",Twitter; social media; journalism; news; TWEETS; BRITISH; data journalism; DUTCH; NEWS SOURCE; Social journalism; sourcing; TOOL; trust; verification,WOS,98,,,,,,,
