,Unnamed: 0,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
55,1450,journalArticle,2017.0,"Parmelee, John H.; Deeley, David",Florida political reporters interact rarely online.,Newspaper Research Journal,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=137543520&site=ehost-live,"A content analysis of the tweets of political reporters at Florida newspapers examines the degree to which local and regional journalists interact with the public on Twitter. Twitter activity focused primarily on feedback, with journalists tweeting links, photos or hashtags as one-way communication. Findings indicate little of genuine interactivity on Twitter between journalists and citizens. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Twitter; Content analysis; United States; Newspapers; Journalists; content analysis; interactivity; normalization; quantitative; Citizens; descriptive statistics; Newspaper & Online News; political reporters,SocIndex,7,,,,,,,
56,1480,journalArticle,2022.0,"Saenz, RH","""We're Good at Tennis, Soccer... and Organ Donation"": The Spanish organ procurement organization as a producer of national identity discourses (2017-2020)",POETICS,10.1016/j.poetic.2021.101618,,"Spain is the global leader in organ donation and transplantation since 1992, an achievement that has become a source of national pride, in a country where national symbols are heavily contested. In this article I demonstrate that Spain's organ procurement organization is an active producer of national identity discourses oriented to increasing the legitimacy of the Spanish national project and generating affective adherence to the state institutions. Through a qualitative analysis of 43 press releases, 27 media interviews, 3200 tweets, and 35 YouTube videos, I show that the organization reproduces Spain as a frame of reference, redefines the bonds and boundaries of the national community by linking them to the circulation of organs, and attributes positive moral values to Spain's citizenry. It highlights Spain's internal unity, presenting organ procurement as a national enterprise that binds together different social actors and territories in a common project. It also leverages Spain's success in this area to depict the country as a global exemplar comparable to its neighbors in Western and Northern Europe. My study contributes to a better understanding of contemporary Spanish national identity discourses and raises theoretical questions about the role of alternative sources of national identity in countries with histories of conflict around national narratives and symbols.",POLITICS; SPAIN; Spain; Discourse analysis; SOCIETY; COUNTRIES; IDENTIFICATION; AGE; Qualitative analysis; CONSTRUCTIVISM; CRITIQUE; DEIXIS; EVERYDAY; Medical nationalism; National identity discourses; Organ donation; Organ procurement; Organ transplantation,WOS,3,,,,,,,
57,1540,journalArticle,2021.0,"Maretti, Mara; Russo, Vanessa; del Gobbo, Emiliano","Open data governance: civic hacking movement, topics and opinions in digital space.",Quality & Quantity,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=150302835&site=ehost-live,"The expression 'open data' relates to a system of informative and freely accessible databases that public administrations make generally available online in order to develop an informative network between institutions, enterprises and citizens. On this topic, using the semantic network analysis method, the research aims to investigate the communication structure and the governance of open data in the Twitter conversational environment. In particular, the research questions are: (1) Who are the main actors in the Italian open data infrastructure? (2) What are the main conversation topics online? (3) What are the pros and cons of the development and use (reuse) of open data in Italy? To answer these questions, we went through three research phases: (1) analysing the communication network, we found who are the main influencers; (2) once we found who were the main actors, we analysed the online content in the Twittersphere to detect the semantic areas; (3) then, through an online focus group with the main open data influencers, we explored the characteristics of Italian open data governance. Through the research, it has been shown that: (1) there is an Italian open data governance strategy; (2) the Italian civic hacker community plays an important role as an influencer; but (3) there are weaknesses in governance and in practical reuse. [ABSTRACT FROM AUTHOR]",Italy; Twitter; Influencers; Telecommunication systems; Semantic network analysis; Computer hacking; Civic hacking; Online focus group; Open data; Semantic network analysis method,SocIndex,5,,,,,,,
58,1570,journalArticle,2022.0,"Madariaga, AG; Lorenzo-Rodriguez, J; Riera, P",Building Blocks: Online Political Promiscuity in Times of Polarization in Spain,REVISTA ESPANOLA DE INVESTIGACIONES SOCIOLOGICAS,10.5477/cis/reis.178.61,,"The exceptional levels of political polarization, party system fragmentation, and electoral volatility that Spain is currently experiencing, all recommend analysing the origins of these patterns. We employ a unique combination of individual-level survey and Twitter activity data pertaining to a sample of users of the Voting Advice Application we launched during the transformative 2015 Spanish general elections campaign to investigate the ideological determinants of individuals' online network building. Our results demonstrate that, among those following online parties/candidates' profiles, political promiscuity is the most common behaviour, though this behaviour depends heavily on users' broader online and offline political attitudes.",NEWS; EXPOSURE; SOCIAL MEDIA; Spain; INTERNET; NETWORKS; Social Media; Political Polarization; Electoral Volatility; Online Promiscuity; Party System Fragmentation; Voting Advice Applications; IDEOLOGY; PARTY POLARIZATION; VOTER,WOS,2,,,,,,,
59,1600,journalArticle,,"Lavorgna, Anita; Carr, Leslie",Tweets and Quacks: Network and Content Analyses of Providers of Non-Science-Based Anticancer Treatments and Their Supporters on Twitter,SAGE Open,10.1177/21582440211003084,https://doi-org.ezproxy.lib.utexas.edu/10.1177/21582440211003084,"Despite the consensus in the medical discipline that certain treatments lack scientific evidence and are worthless if not potentially dangerous, the promotion and selling of fake cures advertised as safe and effective has long plagued health care systems, praying on vulnerable patients and their loved ones. The web and social media are now playing a fundamental role in the propagation of non-science-based treatments and fraudulent medical claims, and in the rise of false health and lifestyle experts. This study combines criminological and computer science expertise to explore and critically analyze the Twitter presence of providers of non-science-based anticancer treatments and their active supporters in the English-speaking online community to investigate their structural relationships and to analyze the characteristics of the most popular actors. The features of the social network observed indicate that there is not a stable community of promoters and supporters of non-science-based medical treatments in the Twittersphere, suggesting the lack of a defined subculture and the presence of transient collectives rather than identifiable groups. Nonetheless, it is possible to observe dynamic conversational networks clustering around popular actors, tweets, and themes, prompting avenues for further research.",,SAGE,4,,,,,,,
60,1630,journalArticle,2014.0,"YOO, JAE-WOONG; SAMSUP JO",HOW DO JOURNALISTS EXPRESS THEIR PERCEPTIONS OF PUBLIC RELATIONS ON TWITTER?,Social Behavior & Personality: an international journal,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=97477217&site=ehost-live,"We examined journalists' perceptions of the term public relations (PR) as indicated by their Twitter messages, taking into consideration variables such as media type, and the journalists' followers. The findings suggested that journalists generally used the term PR in a neutral sense, rather than a negative or positive one. As they largely understood PR to be an image-building and/or persuasion effort, journalists were likely to refer in their tweets to PR publicity, image, persuasion campaigns, and marketing efforts to promote an organization's position. A salient finding was that more journalists perceived PR more neutrally or positively than previously. The results suggest a need for systematic and continual efforts to deliver an accurate picture of PR geared to media journalists. [ABSTRACT FROM AUTHOR]",Twitter; Journalists; social media; tweets; Public relations; journalists; microblog messages; Persuasion (Psychology); Psychology; public relations; Reputation; Twitter (Web resource) -- Social aspects; Publicity -- Social aspects,SocIndex,6,,,,,,,
61,1660,journalArticle,2021.0,"Charron, N; Annoni, P",What is the Influence of News Media on People's Perception of Corruption? Parametric and Non-Parametric Approaches,SOCIAL INDICATORS RESEARCH,10.1007/s11205-020-02527-0,,"Does the source of one's news media have a systematic effect on one's perception of political corruption? While numerous studies have investigated the extent to which media affects trust in institutions, or the polarization of political values, this study shifts the focus on to how one's media source conceived here as social media versus traditional media affects the perception of corruption in 2 ways. First, we hypothesize that citizens who consume their news predominately from social media will have higher perceptions of political corruption than consumers of more traditional media sources. Second, we hypothesize that perceptions among social media consumers will be more polarized. Specifically, we argue that the gap in corruption perception between supporters of government and opposition political parties will be larger among social media consumers compared to traditional news consumers. We test our hypotheses using newly collected survey data from the European Quality of Government Index survey from 2017, which contains nearly 78,000 respondents in 21 countries in the European Union. Estimating our model with both parametric and non-parametric approaches, we find robust empirical support for two of our 3 hypotheses.",Social media; ATTITUDES; SOCIAL MEDIA; INTERNET; PRESS; GOVERNMENT; POLARIZATION; INFORMATION; TWITTER; Corruption perceptions; Decision trees; DIFFERENCE; European regions; Non-parametric estimation; QUALITY,WOS,11,,,,,,,
62,1690,journalArticle,2022.0,"Shahin, S; Ng, YMM","Connective action or collective inertia? Emotion, cognition, and the limits of digitally networked resistance",SOCIAL MOVEMENT STUDIES,10.1080/14742837.2021.1928485,,"Connective action, or individuals networking with each other online to form social movements, rarely leads to lasting change. In this study, we argue that such movements are ultimately ineffective because they struggle to sustain themselves over time and identify the reasons behind their transience. Our analysis focuses on Twitter conversations about Aadhaar, a biometric ID project that has raised concerns about data privacy and civil liberty in India, the world's largest democracy. A computational mixed-methods approach incorporating social network analysis, sentiment analysis, and structural topic modeling demonstrates that connective action against Aadhaar failed to produce a sustained discourse of resistance, with people's feelings toward and beliefs about Aadhaar vacillating sharply. The analysis draws attention to the power of brick-and-mortar social institutions, including the state and its agencies, political parties, courts, technology companies, and 'legacy' news media, in shaping and reshaping seemingly bottom-up discourses on digital platforms. It also identifies three interlinked weaknesses of connective action - the individualized nature of mobilization, excessive flexibility of social networks, and a negative emotional culture. We contend that in order to be effective, contemporary social movements need to utilize digital technologies for 'collective' action by forging collective identities that bind participants affectively and cognitively, empower them against structures of social control, and enable them to commit to non-personal and long-term objectives.",MOBILIZATION; SOCIAL MEDIA; sentiment analysis; Twitter; IDENTITY; PROTEST; topic modeling; social movement; emotion; MOVEMENTS; PRIVACY; influencer,WOS,12,,,,,,,
63,1720,journalArticle,2014.0,"Gonzalez-Bailon, S; Wang, N; Rivero, A; Borge-Holthoefer, J; Moreno, Y",Assessing the bias in samples of large online networks,SOCIAL NETWORKS,10.1016/j.socnet.2014.01.004,,"We consider the sampling bias introduced in the study of online networks when collecting data through publicly available APIs (application programming interfaces). We assess differences between three samples of Twitter activity; the empirical context is given by political protests taking place in May 2012. We track online communication around these protests for the period of one month, and reconstruct the network of mentions and re-tweets according to the search and the streaming APIs, and to different filtering parameters. We find that smaller samples do not offer an accurate picture of peripheral activity; we also find that the bias is greater for the network of mentions, partly because of the higher influence of snowballing in identifying relevant nodes. We discuss the implications of this bias for the study of diffusion dynamics and political communication through social media, and advocate the need for more uniform sampling procedures to study online communication. (C) 2014 Elsevier B.V. All rights reserved.",Social media; Twitter; Political communication; POWER; INFLUENTIALS; Graph comparison; Measurement error; Social protests; CENTRALITY; ERROR; RECRUITMENT,WOS,272,,,,,,,
64,1750,journalArticle,2021.0,"Sacco, Pier Luigi; Gallotti, Riccardo; Pilati, Federico; Castaldo, Nicola; De Domenico, Manlio",Emergence of knowledge communities and information centralization during the COVID-19 pandemic.,Social Science & Medicine,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=152163734&site=ehost-live,"As COVID-19 spreads worldwide, an infodemic – i.e., an over-abundance of information, reliable or not – spreads across the physical and the digital worlds, triggering behavioral responses which cause public health concern. We study 200 million interactions captured from Twitter during the early stage of the pandemic, from January to April 2020, to understand its socio-informational structure on a global scale. The COVID-19 global communication network is characterized by knowledge groups, hierarchically organized in sub-groups with well-defined geo-political and ideological characteristics. Communication is mostly segregated within groups and driven by a small number of subjects: 0.1% of users account for up to 45% and 10% of activities and news shared, respectively, centralizing the information flow. Contradicting the idea that digital social media favor active participation and co-creation of online content, our results imply that public health policy strategies to counter the effects of the infodemic must not only focus on information content, but also on the social articulation of its diffusion mechanisms, as a given community tends to be relatively impermeable to news generated by non-aligned sources. • Global communication related to Covid-19 is characterized by knowledge communities. • Information cascades are segregated within groups and driven by few subjects. • Communities are relatively impermeable to news generated by non-aligned sources. • Political orientations play a strong structuring role on community identity. • Scientific communication is a marginal fringe of the digital information ecosystem. [ABSTRACT FROM AUTHOR]",Practical politics; Twitter (Web resource); Descriptive statistics; COVID-19 pandemic; Communication; Public health; Digital technology; Group identity; Attitude (Psychology); Health; Information resources; Health policy; Health literacy; Communities; Information services; Community support; Interpersonal relations; Access to information; Global Communication; Infodemic; Information overload; Public Health,SocIndex,22,,,,,,,
65,1780,journalArticle,2016.0,"Shi, YR; Macy, M",Measuring structural similarity in large online networks,SOCIAL SCIENCE RESEARCH,10.1016/j.ssresearch.2016.04.021,,"Structural similarity based on bipartite graphs can be used to detect meaningful communities, but the networks have been tiny compared to massive online networks. Scalability is important in applications involving tens of millions of individuals with highly skewed degree distributions. Simulation analysis holding underlying similarity constant shows that two widely used measures - Jaccard index and cosine similarity - are biased by the distribution of out-degree in web-scale networks. However, an alternative measure, the Standardized Co-incident Ratio (SCR), is unbiased. We apply SCR to members of Congress, musical artists, and professional sports teams to show how massive co-following on Twitter can be used to map meaningful affiliations among cultural entities, even in the absence of direct connections to one another. Our results show how structural similarity can be used to map cultural alignments and demonstrate the potential usefulness of social media data in the study of culture, politics, and organizations across the social and behavioral sciences. (C) 2016 Elsevier Inc. All rights reserved.",Twitter; POWER; Bipartite; Co-following; Cosine similarity; Jaccard; CONSTRAINT,WOS,17,,,,,,,
66,1810,journalArticle,2019.0,"Adamczyk, Amy; LaFree, Gary; Barrera-Vilert, Maria","Using Google and Twitter to Measure, Validate and Understand Views about Religion across Africa.",Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=137453695&site=ehost-live,"Researchers typically use social surveys or censuses to examine attitudes and behaviors across nations. While useful for understanding cross-national differences, they are expensive to collect, include only a limited number of issues and countries, and are not very time sensitive. Many countries across the world now have residents who regularly use Twitter and Google, and these internet platforms are increasingly making data on the country-level number of tweets and google searches available for analysis. While there are a lot of challenges with these data, we examine some of the potential benefits. Specifically, our study assesses the extent to which cross-national social media and survey measures related to religious expression are related. Focusing on Africa, where surveys are particularly difficult to administer, and religious expression, which is quite common across the continent, is high, we find that our religion-related measures derived from google searches correspond particularly well with traditional social science measures. We then look at how all three sets of measures explain terrorism, health-related issues, and the number of Christian and Muslim official holidays within the country. We find that the measures derived from Google almost always perform as well, if not better, than the traditional social science measures. We discuss how internet data may be able to offer reliable and time-sensitive measures for examining differences across nations and for better understanding a range of issues in Africa. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Research; Social attitudes; Google (Web resource); Africa; Cross-national; Religion; Attitudes toward religion; Social surveys,SocIndex,5,,,,,,,
