,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
1631,journalArticle,2016.0,HYEON-CHEOL KIM; JAE-YEOB JEONG,EFFECT OF CELEBRITY ENDORSEMENT IN MARKETING OF MUSICALS: POSTER VERSUS SOCIAL NETWORKING SITE.,Social Behavior & Personality: an international journal,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=118209196&site=ehost-live,"We investigated the effect of the message sender, communication type, and recipient's involvement in the marketing of a musical show. This study had a 2 (sender: celebrity vs. noncelebrity) × 2 (communication type: poster advertisement vs. Twitter word-of-mouth [WOM]) × 2 (recipient involvement: high vs. low) design. Data were collected from 259 Korean university students. Results showed that a celebrity poster advertisement had a more positive effect on consumer attitude than did a noncelebrity poster advertisement. In contrast, with Twitter WOM, the noncelebrity message sender was more effective in eliciting a positive response from consumers. The interaction of sender, communication type, and recipient involvement for musical ticket purchase intention was significant. Our findings will help marketers strategically allocate resources, as the effect of celebrity endorsement differed according to communication type and recipient characteristics. Specifically, in the social networking site promotion condition, the similarity or social connection between the message sender and recipient was more influential than was the power of a celebrity to attract consumers. [ABSTRACT FROM AUTHOR]",Twitter; Online social networks; social networking sites; Internet advertising; Advertising endorsements; celebrity endorsement; marketing communication; Marketing strategy; Music in advertising; musicals; Outdoor advertising; poster advertisement; word-of-mouth,SocIndex,27,,,,,,,
1632,journalArticle,2016.0,NAM-HYUN UM,PREDICTORS OF THE EFFECTIVENESS OF CELEBRITY ENDORSEMENT ON FACEBOOK.,Social Behavior & Personality: an international journal,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=120165513&site=ehost-live,"I investigated whether or not the factors of self-disclosure, social identity, and need for affiliation predict effectiveness of celebrity endorsement on Facebook. Participants in this study were 320 college students, who viewed a fictitious celebrity Facebook fan page and then completed an online survey. Results showed that self-disclosure and need for affiliation had a significantly positive impact on both brand attitude and purchase intention. In addition, social identity had a significantly positive impact on consumers' electronic word-of-mouth intention. Overall, my results indicate that, as one component of an advertising strategy, celebrity endorsement in social media contexts (e.g., Facebook, Twitter) is effective. [ABSTRACT FROM AUTHOR]",Social media; advertising; social media; Group identity; Facebook (Web resource); Self-disclosure; Facebook; social identity; College students; self-disclosure; Advertising endorsements; celebrity endorsement; Marketing strategy; electronic word-of-mouth; need for affiliation,SocIndex,23,,,,,,,
1633,journalArticle,2018.0,"Odabas, M; Reynolds-Stenson, H",Tweeting from Gezi Park: Social Media and Repression Backfire,SOCIAL CURRENTS,10.1177/2329496517734569,,"We examine how social media may facilitate protest mobilization in response to violent state repression. Prior research demonstrates that violent repression can either decrease protest participation through raising the costs of participation, or can generate outrage, resulting in ""backfire"" and an increase in mobilization. Many recent mass mobilizations have garnered attention from scholars and journalists alike due to the instances of repression backfiring as well as the widespread use of social media in these protest movements. We examine why these two trends may be related using logistic regression analysis on data on participants in the Gezi Park Protests in summer 2013. Controlling for confounding factors, we find a statistically significant relationship between being recruited to participate in the protests through social media and joining the mass mobilization as a reaction to police repression. We argue that in the case of Gezi Park, communication through social media was a key factor in facilitating social movement mobilization in response to repression.",social media; mobilization; repression; backfire; collective behavior and social movements,WOS,25,,,,,,,
1634,journalArticle,2021.0,"Hsiao, Yuan",Evaluating the Mobilization Effect of Online Political Network Structures: A Comparison between the Black Lives Matter Network and Ideal Type Network Configurations.,Social Forces,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=149718521&site=ehost-live,"Do online networks encourage political participation? Much research has theorized on how digital networks transmit mobilizing content, fewer studies examine the structure of online networks, and even fewer test how the structure of online networks affects participation for political behaviors with differing costs. From a structural network perspective, I highlight the puzzle: If according to recent literature, digital networks are loose with many weak ties, how can such a network configuration facilitate high-cost political behavior that requires multiple social reinforcements? I map the following relationships among 655 Twitter users who follow the Black Lives Matter Sacramento chapter and compare the structure of the digital network to three commonly observed ideal type networks. The results show that the digital network is structurally distinct from the ideal types, as it is characterized by an extremely dense cluster but also with many loosely connected components, which I describe as a ""cluster-connective network."" Results from computer experiments further show that paradoxically, this ""cluster-connective"" configuration benefits participation for high-cost behavior but hinders participation for low-cost behavior. The results illustrate how a structural network perspective helps scholars move from the question of whether digital networks facilitate participation to the conditions under which digital networks encourage participation. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Political participation; Mass mobilization; Online social networks; Social movements; Black Lives Matter movement,SocIndex,9,,,,,,,
1635,journalArticle,2021.0,"Hsiao, Y",Evaluating the Mobilization Effect of Online Political Network Structures: A Comparison between the Black Lives Matter Network and Ideal Type Network Configurations,SOCIAL FORCES,10.1093/sf/soaa064,,"Do online networks encourage political participation? Much research has theorized on how digital networks transmit mobilizing content, fewer studies examine the structure of online networks, and even fewer test how the structure of online networks affects participation for political behaviors with differing costs. From a structural network perspective, I highlight the puzzle: If according to recent literature, digital networks are loose with many weak ties, how can such a network configuration facilitate high-cost political behavior that requires multiple social reinforcements? I map the following relationships among 655 Twitter users who follow the Black Lives Matter Sacramento chapter and compare the structure of the digital network to three commonly observed ideal type networks. The results show that the digital network is structurally distinct from the ideal types, as it is characterized by an extremely dense cluster but also with many loosely connected components, which I describe as a ""cluster-connective network."" Results from computer experiments further show that paradoxically, this ""cluster-connective"" configuration benefits participation for high-cost behavior but hinders participation for low-cost behavior. The results illustrate how a structural network perspective helps scholars move from the question of whether digital networks facilitate participation to the conditions under which digital networks encourage participation.",SOCIAL MEDIA; COLLECTIVE ACTION; PARTICIPATION; PROTEST; MOVEMENT; DIFFUSION; DYNAMICS; BEHAVIOR; TWITTER; COMPLEX CONTAGIONS,WOS,9,,,,,,,
1636,journalArticle,2020.0,"Akpojivi, Ufuoma",We are not all #ZumaMustFall: further reflections.,Social Identities,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=146467195&site=ehost-live,"This study seeks to examine the micro–macro relationships of the #ZumaMustFall and the extent this relationship impacted on the objectives of the protest actions. The study argues that the different registers of middle-class, race, capitalist's interest, and popular politics shaped the nature of this micro–macro relationship of #ZumaMustFall protest actions. The study further argues that the intersection of these registers i.e. the micro-the social register of the middle-class, race, etc influenced the macro register of popular politics, and the intersection of both relationships hindered the majority of poor South Africans who could have participated in the protests both online i.e. tweeting and offline i.e. protest marches, from participating, as these registers acted as an instrument of privilege and oppression. Therefore, the study concludes by positing that, to understand the ability of protest actions and digital activism to bring about social change in South Africa, there is the need to understand the complex social structures or relationships and how these structures interplay with activism. [ABSTRACT FROM AUTHOR]",Racism; Activism; race; Political science; South Africa; #ZumaMustFall; Investors; middle-class; popular politics; protest action,SocIndex,5,,,,,,,
1637,journalArticle,2017.0,"Owen, Stephen",Monitoring social media and protest movements: ensuring political order through surveillance and surveillance discourse.,Social Identities,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=125909013&site=ehost-live,"Social network sites (SNSs) such as Facebook, Twitter, and YouTube are often claimed to be central in their role as a facilitating medium for contemporary protest movements. Protestors are able to coalesce around particular keywords such as found in the use of 'hashtags' on the SNS Twitter, while sympathetic audiences across the globe are able to follow events in real time. While the role of Twitter use in protests has been celebrated as a means of reducing the information asymmetry between protestors and police, this article problematises this view by exploring the ways in which social media data are beneficial to law enforcement agencies and the state. The article examines the extent to which intelligence agencies are able to monitor activists, drawing on the Edward Snowden revelations of widespread SNS surveillance, and the ways in which internet users are altering their online activities as a result of the revelations. Far from challenging the state, social media use and the data it provides offer the state a multitude of resources to extend its reach and to ensure political order. [ABSTRACT FROM AUTHOR]",Social media; social media; Protest movements; Online social networks; social movements; Internet users; information asymmetry; protest policing; repression; Intelligence service; securitisation; Surveillance,SocIndex,43,,,,,,,
1638,journalArticle,2022.0,"Zarrabeitia-Bilbao, Enara; Rio-Belver, Rosa-María; Alvarez-Meaza, Izaskun; Martínez de Alegría-Mancisidor, Itziar",World Environment Day: Understanding Environmental Programs Impact on Society Using Twitter Data Mining.,Social Indicators Research,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=159817831&site=ehost-live,"Environmental sustainability awareness has encouraged the promotion of a number of environmental programs and initiatives and, accordingly, the use of social networks for the dissemination and support of these initiatives has grown significantly. Thus, the purpose of the work is to understand United Nations World Environment Day (WED) programs impact on the digital public debate using Twitter data mining. For that, an ad hoc methodology is designed to provide it to authorities and organizations that wish to analyze the impact of different initiatives or programs on society. All in all, the research carried out analyzes more than 400,000 tweets sent during the 2021 edition of the WED. The tweets have been processed using Big Data techniques and Social Network Analysis. The research reveals that the WED was a trending topic initiative that was discussed in positive terms, where collective sentiment was shown. The topics covered dealt with the event day and the different initiatives related to restoration of ecosystems. However, it is noted that: there is no coordinated action by the institutions, groups or individuals involved in the conversation and the initiative tends towards homophily; digital mobilization is mostly centered in the host country (Pakistan) and, above all, in the neighboring country (India) and, the conspicuous absence of the business sphere in the discussion. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Twitter; Social support; Data mining; Environmental programs; Restoration ecology; SNA metrics; Social network analysis; Sustainability; United Nations; World Environment Day,SocIndex,2,,,,,,,
1639,journalArticle,2021.0,"del Gobbo, Emiliano; Fontanella, Sara; Sarra, Annalina; Fontanella, Lara",Emerging Topics in Brexit Debate on Twitter Around the Deadlines: A Probabilistic Topic Modelling Approach.,Social Indicators Research,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=151632123&site=ehost-live,"The present study is focused on the online debate relating to the Brexit process, three years and half since the historical referendum that has sanctioned the divide of the United Kingdom from the European Union. In our analysis we consider a corpus of approximately 33 million Brexit related tweets, shared on Twitter for 58 weeks, spanning from 31 December 2019 to 9 February 2020. Due to its great accessibility to data, Twitter constitutes a convenient data source to monitor and evaluate a wide variety of topics. In addition, Twitter's marked orientation towards news and the dissemination of information makes this microblogging network more connected to politics compared to other platforms. Through static and dynamic topic modelling techniques, we were able to identify the topics that have attracted the most attention from Twitters users and to characterise their temporal evolution. The topics retrieved by the static model highlight the major events of the Brexit process while the dynamic analysis recovered the persistent themes of discussion and debate over the entire period. [ABSTRACT FROM AUTHOR]","Social media; Twitter Inc.; Microblogs; Twitter data; Brexit; Deadlines; European Union; Information dissemination; Latent Dirichlet Allocation; Topic models; British withdrawal from the European Union, 2016-2020",SocIndex,18,,,,,,,
1640,journalArticle,2022.0,"Iacus, S. M.; Porro, G.; Salini, S.; Siletti, E.",An Italian Composite Subjective Well-Being Index: The Voice of Twitter Users from 2012 to 2017.,Social Indicators Research,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=156620377&site=ehost-live,"Since 2012, driven by the desire to propose a subjective well-being index (SWBI) complementary to the traditional measures, with high time and space frequency, our team evaluates, analysing Twitter data, a composite index that captures various aspects and dimensions of individual and collective life. The SWBI is a multidimensional indicator whose components were inspired by the dimensions adopted for the Happy Planet Index provided by the New Economic Foundation. In detail, it consists of eight dimensions that describe three different areas: personal well-being, social well-being and well-being at work. The Italian subjective well-being index ( SWBI ITA ), that we display here, audits the Italian subjective well-being revealed by tweets acquired via the public Twitter API, written in the Italian language, and posted from Italy from January 2012 to December 2017. Around 1–5% of the data includes geo-referenced information, which allows us to provide an index at local level. The Twitter data analysis is carried on with a human supervised sentiment analysis method, the Integrated Sentiment Analysis (iSA) algorithm. In this work, after a weighting procedure adopted to partially overcome the selection bias caused by the use of data from social network, we describe the SWBI ITA dimensions in the considered period at the regional level. Moreover, for some dimensions, for which a similar currently available measure provided by Italian official statistics exists, comparisons are proposed emphasizing novelties, similarities and differences. [ABSTRACT FROM AUTHOR]","Big data; Composite indicators; Italian language; Italy; Quality of life; Sentiment analysis; Social network; Social networks; Subjective well-being (Psychology); Twitter (Web resource); Twitter Inc.; Carey, Mariah, 1970-",SocIndex,23,,,,,,,
