Unnamed: 0,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
179,journalArticle,2021.0,"Becker, Amy B.","Alec Baldwin's appearances on Saturday Night Live: tangerine wig, Twitter backlash, and the humanising of President Donald J. Trump.",Celebrity Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=148751427&site=ehost-live,"For more than three years, Alec Baldwin, comic actor and recurring I Saturday Night Live i host, has been making regular guest appearances on the NBC variety programme clad in a tangerine wig and business suit (Nir [14]). At the same time, however, viewing I SNL i followed by Trump's response to I SNL i via Twitter again reinforces perceptions that Trump is authentic. So even two years in, it seems that Trump's critical and combative response to I SNL i , and in turn Baldwin via Twitter, is still working to Trump's advantage. In the end it seems that as long as Trump remains in the Oval Office, Baldwin will continue to appear on I SNL i an as an exaggerated, and increasingly more likeable version of Trump, especially in contrast with the version of political reality offered up by the current White House. [Extracted from the article]","Public opinion; Trump, Donald, 1946-; Identity (Psychology); Baldwin, Alec, 1958-; Presidential administrations; Presidents; Wigs",SocIndex,,,,,,,,
180,journalArticle,2022.0,"Williams, Melvin L.","Social media's commodified, transgender ambassador: Caitlyn Jenner, celebrity activism, and social media.",Celebrity Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=155357702&site=ehost-live,"American Olympic athlete and former reality television star Caitlyn Jenner remains a polarising figure in discussions of celebrity culture, transgender visibility, and social activism due to her conservative political views and limited knowledge about the issues non-famous transgender people face in society. Since reintroducing herself as a transgender woman in 2015, Jenner has been framed as a figurehead for transgender activism in mass media due to her avowed intention to disrupt transphobia and Twitter commentary on politics, and equally accused of commodifying her transgender experience for economic gain. Given the many questions surrounding the legitimacy of Jenner's transgender advocacy and her intentional use of Twitter as a medium to discuss transgender politics, this research conducted a textual analysis of Jenner's Twitter account, @Caitlyn_Jenner to examine how the transgender celebrity used social media to discuss her lived experiences as a transgender woman and advocate on behalf of the transgender community. The findings supported prior scholarly criticisms of Jenner's celebrity image, online celebrity activism, and transwomen's representations in celebrity culture. @Caitlyn_Jenner fostered online social connections and discussions with her transgender followers. However, Jenner did not facilitate any collective social movement actions due to her ideological differences with Republican and transgender communities. [ABSTRACT FROM AUTHOR]","Social media; Twitter Inc.; social media; Activism; Celebrities; Transgender people; Caitlyn Jenner; celebrity activism; celebrity activist tweeting; Internet celebrities; Jenner, Caitlyn, 1949-; Trans women; transgender activism; Transgender communities; transgender politics",SocIndex,,,,,,,,
210,journalArticle,2011.0,"Goodman, Michael K.; Barnes, Christine",Star/poverty space: the making of the 'development celebrity'.,Celebrity Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=60040745&site=ehost-live,"What is it that gives celebrities the voice and authority to do and say the things they do in the realm of development politics? Asked another way, how is celebrity practised and, simultaneously, how does this praxis make celebrity, personas, politics and, indeed, celebrities themselves? In this article, we explore this 'celebrity praxis' through the lens of the creation of the contemporary 'development celebrity' in those stars working for development writ large in the so-called Third World. Drawing on work in science studies, material cultures and the growing geo-socio-anthropologies of things, the key to understanding the material practices embedded in and creating development celebrity networks is the multiple and complex circulations of the everyday and bespectacled artefacts of celebrity. Conceptualised as the 'celebrity-consumption-compassion complex', the performances of development celebrities are as much about everyday events, materials, technologies, emotions and consumer acts as they are about the mediated and liquidised constructions of the stars who now 'market' development. Moreover, this complex is constructed by and constructs what we are calling 'star/poverty space' that works to facilitate the 'expertise' and 'authenticity' and, thus, elevated voice and authority, of development celebrities through poverty tours, photoshoots, textual and visual diaries, websites and tweets. In short, the creation of star/poverty space is performed through a kind of 'materiality of authenticity' that is at the centre of the networks of development celebrity. The article concludes with several brief observations about the politics, possibilities and problematics of development celebrities and the star/poverty spaces that they create. [ABSTRACT FROM AUTHOR]",Political participation; Ambassadors; Celebrities; authenticity; materiality; place; Authenticity (Philosophy); celebrity praxis; development celebrity; expertise; Expertise; Material facts (Law); Poverty; Praxis (Process); space,SocIndex,,,,,,,,
230,journalArticle,2021.0,"Wang, Yi; Shi, Molu; Zhang, Jueman",What public health campaigns can learn from people's Twitter reactions on mask-wearing and COVID-19 Vaccines: a topic modeling approach.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154364604&site=ehost-live,"Topic modeling, which uses machine learning algorithms to identify the emergence of topics, can help public health professionals monitor online public responses during health crises. This study used Latent Dirichlet Allocation algorithm to model the topics in Twitter messages (or ""tweets"") from the US during the COVID-19 pandemic from March 20th to August 9th, 2020. Topic sizes and sentiment were calculated as the pandemic evolved, for major topics about vaccination and mask-wearing as a nonpharmaceutical intervention measure. Despite the pandemic, positive sentiments were found among most topics. While users were found to react more often to positive sentiment about mask-wearing, negative content on vaccination was found more popular. Noticeable trends in topic sizes and sentiment were observed for various topics, which correlated in time with some key pandemic events and policy changes, implying their impacts on social media responses. By analyzing such trends and impacts, this research offers insights on health campaign message design and how to outreach the general public most effectively. [ABSTRACT FROM AUTHOR]",topic modeling; emotion; sentiment; LDA; mask-wearing; popularity; public health campaign; vaccine,SocIndex,,,,,,,,
232,journalArticle,2022.0,"Nyoka, Payidamoyo; Tembo, Mary",Dimensions of democracy and digital political activism on Hopewell Chin'ono and Jacob Ngarivhume Twitter accounts towards the July 31st demonstrations in Zimbabwe.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160905226&site=ehost-live,"Using a qualitative research approach, this study provides an inquiry into the nature of democracy and digital political activism discourses on @Hopewell Chin'ono and @Jacob Ngarivhume prior to the 31st July demonstrations. Alternative communications spaces have revolutionised political communication in Zimbabwe. In Zimbabwe, political polarisation has created a monolithic voice in the mainstream media. In the ""Second Republic"", digital activism is a growing phenomenon where subalterns question the state. This study is guided by Manuel Castells' Power and Counter Power Theory. Data gathered using netnography was analysed using critical discourse analysis. Findings show that digital activism has turned into social media ""dissidence"", calling for the resignation of the government officials including the Executive through 31st demonstrations. There is an intimate relationship between digital democracy and digital activism, enabling political advocacy and lobbying. Twitter is used to safeguard the lives of activists. Religious discourses were used by both Jacob Ngarivhume and Hopewell Chin'ono as they drummed up support for the July 31st demonstrations. [ABSTRACT FROM AUTHOR]",digital activism; social media; Democracy; 31st demonstrations; Hopewell Chin'ono; Jacob Ngarivhume,SocIndex,,,,,,,,
233,journalArticle,2022.0,"Hassett-Walker, Connie",Does Brandenburg v. Ohio still hold in the social media era? Racist (and other) online hate speech and the First Amendment.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160905260&site=ehost-live,"First Amendment protections for hate speech, before and after the advent of the Internet, have been the subject of various court cases. This study presents the results of a content analysis of tweets using racist, anti-Semitic, anti-Islamic and homophobic language. Tweet content is considered using a framework from prior court cases: does a tweet constitute political speech; contribute to the marketplace of ideas; encourage violence or include threats? The results show that messages of hate can be communicated without using overly offensive words; and that Twitter users discuss who should vs. should not use a word. Study findings are considered in the context of the U.S. having become more divided politically, and social media's role in amplifying racists' messaging. [ABSTRACT FROM AUTHOR]",social media; racism; First Amendment; hate speech,SocIndex,,,,,,,,
234,journalArticle,2022.0,"Gjerald, Olga; Eslen-Ziya, Hande",From discontent to action: #quarantinehotel as not just a hashtag.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160905290&site=ehost-live,"This article shows how Twitter users' discontent with the quarantine hotel regulations in Norway turned into a digital protest. We discuss how the sharing and communication of messages through hashtags on Twitter facilitate the perception of the hashtag as a cultural object that activates a political agenda and perpetuates a digital social movement. This study used a novel approach to explore the significance of the echo chamber of emotions involved in digital protests and introduced stages of digital activism. The paper concludes by arguing that during a protest, the activists employ emotions as self-expressive tools that help them connect the issue at hand to bigger societal issues (structural discrimination and inequalities) and metaphors (prison and criminal behavior). Once this process starts, it further paves the way to reaching out for support, encouraging action from others, and demanding change from the government, as we show via the digital activism framework. [ABSTRACT FROM AUTHOR]",Twitter; COVID-19; social movement; Norway; digital protest; quarantine hotels,SocIndex,,,,,,,,
235,journalArticle,2018.0,"Selepak, Andrew G.",Exploring anti-science attitudes among political and Christian conservatives through an examination of American universities on Twitter.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=134676390&site=ehost-live,"The purpose of this study was to investigate an unexplored factor as to why some Republicans and conservatives have less trust in science and academia than those on the political left. Twitter accounts for 25 elite American universities were examined for political and religious sentiment and then compared to results from 25 lower ranked schools. The aim was to examine the extent universities post politically liberal or anti-Christian messaging through Twitter. Results suggest elite universities promote more liberal messages than conservative or Republican messages and more liberal messages than lower ranked schools. Overall, the sample of schools made few tweets containing pro-Christianity messaging despite some of the schools having strong connections to Christian denominations or having been founded as religious institutions to train Christian clergy. The findings add additional insight as to why discussions on scientific issues may be influenced by political partisanship. [ABSTRACT FROM AUTHOR]",Twitter; politics; academia; anti-science; bias,SocIndex,,,,,,,,
236,journalArticle,2022.0,"Eslen-Ziya, Hande; Pehlivanli, Ezgi",The search for alternative knowledge in the post-truth era: Anti-vaccine mobilization during the COVID-19 pandemic in Turkey.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160905479&site=ehost-live,"The search for alternative knowledge, conspiracy theories, distrust of expertise and anti-science movements are gaining momentum and post-truth populism is speeding up on the back of fake news. The crisis of truth refers to an era where evidence and objective facts get lost in sentiment, emotion, and personal beliefs. Relying on emotions, creationism, religious beliefs, and common sense over expertise deliberately creates counter-knowledge referred to as pseudo-science, troll-science or fake-science. As the worth of scientific expertise is devalued, the counter-scientific discourses supported through populist political rhetoric help to produce a culture of resistance to science. Our qualitative content analysis of Twitter posts along with the news regarding anti-vaccine arguments from two selected online news sites, revealed three major themes, which we referred to as strategies used by the COVID-19 vaccine deniers in Turkey to disseminate their views. These were: an emphasis on bodily freedom and personal choice and the use of ""my body my choice"" rhetoric; the denying, devaluing, and shifting of scientific evidence; and the dismissal and/or attacking of alternative views and the deepening of the polarisation between the supporters of the COVID-19 restrictions, vaccine supporters and deniers. We conclude the paper by arguing that there is a link between the distrust of doctors and the anti-vaccination ideas, and the quest for alternative knowledge and expert authority. [ABSTRACT FROM AUTHOR]",COVID-19; populism; counter-knowledge; Crisis of truth; knowledge; pseudo-science,SocIndex,,,,,,,,
237,journalArticle,2022.0,"McHugh, Patrick; Perrault, Elise",Of supranodes and socialwashing: network theory and the responsible innovation of social media platforms.,Cogent Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160905492&site=ehost-live,"Social media networks are expanding rapidly, increasing the spread and scale of information diffusion. Researchers have highlighted distinguishing features of social media network platforms: network structure transparency, public self-monitored digital profiles, homogenized network connections, and node-created digital content. These features, while adding utility to social media platform providers and users, can also be exploited to manipulate users' behavior and overall network outcomes. This paper posits the importance of network theory as critical foundational ""laws"" upon which the responsible innovation of social media can be built to minimize such manipulation, how such theory can be used to predict the potential impacts of new network innovations, and the resulting difficulty this framing suggests for self-governance on the part of platform providers. Through a case study analysis of Russian social media interference in the 2016 U.S. presidential election, the value of a network theoretic lens is highlighted. The concept of ""supranodes"", social media nodes empowered via theoretical knowledge and network awareness to socially engineer network structures and outcomes, is developed and the network theoretic features they exploit discussed. [ABSTRACT FROM AUTHOR]",Twitter; social media; Facebook; network theory; Instagram; election interference,SocIndex,,,,,,,,
