,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Misinformation or Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
111,journalArticle,2019.0,"Hazem, SM; Mohamed, EKA; Ali, H",WHAT TWITTER CAN TELL US ABOUT THE STOCK MARKET,ANDULI,10.12795/anduli.2019.i18.10,,"The announcement of a certain event taking place may be important and impactful with regard to the stock market and share prices, even more than the effectiveness and significance of the event itself. The aim of this study is to analyze the effect of financial event announcements via social media, specifically Twitter, on share returns of stocks on the Financial Times Stock Exchange 100 Index. Our research questions were tested on a sample of 833 event observations retrieved from official Twitter accounts for two years (1 January 2014 - 16 February 2016). The test was concerned with tracking stock return behavior on the event day (day 0), the pre-event window and the post-event window using the event-study methodology. This study found that there is a significant relationship between share prices and the events announced via Twitter, the type of tweets, news categories and tweeting intensity of the company involved. Classifying based on the industry of the announcing company had no significant relationship to stock return behavior.",Twitter; ANNOUNCEMENTS; CAPITAL-MARKETS; CORPORATE; Events announcements; London Stock exchange (FTSE 100); Share prices; SIGNALING THEORY,WOS,0.0,,,,,,,
112,journalArticle,2021.0,"Yin, Junjun; Chi, Guangqing",Characterizing People's Daily Activity Patterns in the Urban Environment: A Mobility Network Approach with Geographic Context-Aware Twitter Data.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=152573619&site=ehost-live,"People's daily activities in the urban environment are complex and vary by individual. Existing studies using mobile phone data revealed distinct and recurrent transitional activity patterns, known as mobility motifs, in people's daily lives. The limitation in using only a few inferred activity types hinders our ability to examine general patterns in detail. We proposed a mobility network approach with geographic context-aware Twitter data to investigate granular daily activity patterns in the urban environment. We first used publicly accessible geolocated tweets to track the movements of individuals in two major U.S. cities, Chicago and Greater Boston, where each recorded location is associated with its closest land use parcel to enrich its geographic context. A direct mobility network represents the daily location history of the selected active users, where the nodes are physical places with semantically labeled activity types and the edges represent the transitions. Analyzing the isomorphic structure of the mobility networks uncovered sixteen types of location-based motifs, which describe over 83 percent of the networks in both cities and are comparable to those from previous studies. With detailed and semantically labeled transitions between every two activities, we further dissected the general location-based motifs into activity-based motifs, where sixteen common activity-based motifs describe more than 57 percent of transitional behaviors in the daily activities in the two cities. The integration of geographic context from the synthesis of geolocated Twitter data with land use parcels enables us to reveal unique activity motifs that form the fundamental elements embedded in complex urban activities. (English) [ABSTRACT FROM AUTHOR]",activity motif; activity pattern; Activity patterns (Biology); contexto geográfico; geographic context; geolocated tweets; mobility network; motivo de actividad; patrón de actividad; red de movilidad; Residential mobility; tuits geolocalizados; Urban ecology (Sociology); Urban life; Urban sociology; 地理定位推文; 地理背景; 活动主题; 活动模式; 移动网络,SocIndex,10,,,,,,,
113,journalArticle,2018.0,"Zou, Lei; Lam, Nina S. N.; Cai, Heng; Qiang, Yi",Mining Twitter Data for Improved Understanding of Disaster Resilience.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=130970397&site=ehost-live,"Coastal communities faced with multiple hazards have shown uneven responses and behaviors. These responses and behaviors could be better understood by analyzing real-time social media data through categorizing them into the three phases of the emergency management: preparedness, response, and recovery. This study analyzes the spatial-temporal patterns of Twitter activities during Hurricane Sandy, which struck the U.S. Northeast on 29 October 2012. The study area includes 126 counties affected by Hurricane Sandy. The objectives are threefold: (1) to derive a set of common indexes from Twitter data so that they can be used for emergency management and resilience analysis; (2) to examine whether there are significant geographical and social disparities in disaster-related Twitter use; and (3) to test whether Twitter data can improve postdisaster damage estimation. Three corresponding hypotheses were tested. Results show that common indexes derived from Twitter data, including ratio, normalized ratio, and sentiment, could enable comparison across regions and events and should be documented. Social and geographical disparities in Twitter use existed in the Hurricane Sandy event, with higher disaster-related Twitter use communities generally being communities of higher socioeconomic status. Finally, adding Twitter indexes into a damage estimation model improved the adjusted R2 from 0.46 to 0.56, indicating that social media data could help improve postdisaster damage estimation, but other environmental and socioeconomic variables influencing the capacity to reducing damage might need to be included. The knowledge gained from this study could provide valuable insights into strategies for utilizing social media data to increase resilience to disasters. [ABSTRACT FROM AUTHOR]","Social media; Socioeconomic factors; social media; Coastal biodiversity; disparidades geográficas y sociales en la resiliencia de desastres; Emergency management; geographical and social disparities in disaster resilience; Huracán Sandy; Hurricane Sandy; medios sociales; Twitter use; uso de Twitter; 推特使用。; 灾害回復力中的地理与社会不均; 珊蒂飓风; 社交媒体; Hurricane Sandy, 2012",SocIndex,156,,,,,,,
114,journalArticle,2022.0,"Ceccato, Vania; Petersson, Robin",Social Media and Emergency Services: Information Sharing about Cases of Missing Persons in Rural Sweden.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154141515&site=ehost-live,"The aim of this article is to investigate the nature of information sharing in social media about missing persons by using social media data (mostly Twitter) and conventional media coverage (media archives), adopting a platial perspective to this geographical information. By focusing on the cases of three people gone missing, we report on ways in which civil society establishes relational networks through social media to collectively support local searches and share information in rural Sweden. Geographical information systems and visualization techniques underlie the methodology of this study. Findings show that the geography of information sharing in social media about a missing person is not random, revealing a globally dispersed pattern across the country. Information sharing contains more emotional than informational content, hitting a peak of spread after a person is found deceased. This finding indicates that the value of information shared by social media as a problem-solving resource might have so far been overestimated in the process of finding missing persons. In addition, tweets show indications that voluntary organizations constitute a valuable resource in rural contexts but not without impact on the existing networks of stakeholders delivering emergency services. (English) [ABSTRACT FROM AUTHOR]","Social media; Twitter (Web resource); Geographic information systems; Missing persons; GIS; Sweden; medios sociales; Information sharing; archivos de los medios; Assistance in emergencies; digital networks; mapeo; mapping; media archives; redes digitales; Rural geography; SIG, tuits, voluntarios; social media, tweets, volunteers; 制图，; 媒体档案，; 志愿者。; 推特，; 数字网络，; 社交媒体，",SocIndex,5,,,,,,,
115,journalArticle,2020.0,"Yuan, Yihong; Lu, Yongmei; Chow, T. Edwin; Ye, Chao; Alyaqout, Abdullatif; Liu, Yu","The Missing Parts from Social Media–Enabled Smart Cities: Who, Where, When, and What?",Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=141770578&site=ehost-live,"Social networking sites (SNS), such as Facebook and Twitter, have attracted users worldwide by providing a means to communicate and share opinions and experiences of daily lives. When empowered by pervasive location acquisition technologies, location-based social media (LBSM) has become a potential resource for smart city applications to characterize social perceptions of place and model human activities. There is a lack of systematic examination of the representativeness of LBSM data, though. If LBSM data are applied to decision making in smart city services, such as emergency response or transportation, it is essential to understand their limitations to implement better policies or management practices. This study formalizes the sampling biases of LBSM data from various perspectives, including sociodemographic, spatiotemporal, and semantic. This article examines LBSM data representativeness issues using empirical cases and discusses the impacts on smart city applications. The results provide insights for understanding the limitations of LBSM data for smart city applications and for developing mitigation approaches. Key Words: data quality, location-based social media, sampling biases, smart city. (English) [ABSTRACT FROM AUTHOR]",Social media; Public opinion; Online social networks; Empirical research; Smart cities,SocIndex,54,,,,,,,
116,journalArticle,2019.0,"Jiang, Yuqin; Li, Zhenlong; Cutter, Susan L.","Social Network, Activity Space, Sentiment, and Evacuation: What Can Social Media Tell Us?",Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=138887312&site=ehost-live,"Hurricanes are one of the most common natural hazards in the United States. To reduce fatalities and economic losses, coastal states and counties take protective actions, including sheltering in place and evacuation away from the coast. Not everyone adheres to hurricane evacuation warnings or orders. In reality, evacuation rates are far less than 100 percent and are estimated using posthurricane questionnaire surveys to residents in the affected area. To overcome limitations of traditional data collection methods that are costly in time and resources, an increasing number of natural hazards studies have used social media data as a data source. To better understand social media users' evacuation behaviors, this article investigates whether activity space, social network, and long-term sentiment trends are associated with individuals' evacuation decisions by measuring and comparing Twitter users' evacuation decisions during Hurricane Matthew in 2016. We find that (1) evacuated people have larger long-term activity spaces than nonevacuated people, (2) people in the same social network tend to make the same evacuation decision, and (3) evacuated people have smaller long-term sentimental variances than nonevacuated people. These results are consistent with previous studies based on questionnaire and survey data and thus provide researchers a new method to study human behavior during disasters. Key Words: big data, disaster management, evacuation, hurricane, social media. (English) [ABSTRACT FROM AUTHOR]",Social media; Social networks; United States; Hurricanes; Natural disasters; big data; Civilian evacuation; evacuación; huracán; manejo de desastres; medios sociales.,SocIndex,36,,,,,,,
117,journalArticle,2019.0,"Robinson, Anthony C.",Representing the Presence of Absence in Cartography.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=135481620&site=ehost-live,"A key cartographic challenge associated with the rise of big data is to show when spatial data observations are missing or to communicate variables that indicate absence. For example, showing where people are tweeting during a disaster might be interesting, but visually identifying where normal signals are missing could in fact highlight the most affected places. Parcel data might be fully present, but attributes of their observations could convey qualities of absence (e.g., abandoned structures). Current geovisualization approaches normally do not show anything at all when data are missing or contain qualities of absence and only in rare cases might use a specific hue to highlight the presence of absence on maps. This work argues that people perceive missingness and absence in a way that is distinct from other spatial data qualities, and we propose a typology of static and dynamic means by which we can draw user attention to the presence of absence. To explore the application of these techniques, I use urban parcel data to visualize patterns of property blight in a Detroit neighborhood. Based on conceptual development and case study application, I propose research challenges to evaluate visual representations of missing and absent information on maps. (English) [ABSTRACT FROM AUTHOR]",Big data; Data mining; Neighborhoods; Data science; Detroit (Mich.); absence; ausencia; carencia; cartografía; cartography; Cartography; missingness; variables visuales; visual variables; 视觉变因; 缺席; 製图 学; 遗失,SocIndex,15,,,,,,,
118,journalArticle,2017.0,"Martin, Michael E.; Schuurman, Nadine",Area-Based Topic Modeling and Visualization of Social Media for Qualitative GIS.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=124025732&site=ehost-live,"Qualitative geographic information systems (GIS) has progressed in meaningful ways since early calls for a qualitative GIS in the 1990s. From participatory methods to the invention of the participatory geoweb and finally to geospatial social media sources, the amount of information available to nonquantitative GIScientists has grown tremendously. Recently, researchers have advanced qualitative GIS by taking advantage of new data sources, like Twitter, to illustrate the occurrence of various phenomena in the data set geospatially. At the same time, computer scientists in the field of natural language processing have built increasingly sophisticated methods for digesting and analyzing large text-based data sources. In this article, the authors implement one of these methods, topic modeling, and create a visualization method to illustrate the results in a visually comparative way, directly onto the map canvas. The method is a step toward making the advances in natural language processing available to all GIScientists. The article discusses the ways in which geography plays an important part in understanding the results presented from the model and visualization, including issues of place and space. (English) [ABSTRACT FROM AUTHOR]",Social media; Big data; Twitter (Web resource); Geographic information systems; Acquisition of data; big data; topic model; social media analysis; análisis de medios sociales; modelo tópico; qualitative GIS; SIG cualitativo; visualización; visualization,SocIndex,36,,,,,,,
119,journalArticle,2019.0,"Pulido, Laura; Bruno, Tianna; Faiver-Serna, Cristina; Galentine, Cassandra","Environmental Deregulation, Spectacular Racism, and White Nationalism in the Trump Era.",Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=135476910&site=ehost-live,"This article examines the relationship between racism and environmental deregulation in President Trump's first year in office. We collected data on all environmental events, such as executive actions at the federal level or Trump's tweets. Likewise, we documented racist events targeting indigenous people, people of color, Muslims, and South Asians or Arabs. We found important differences in how these agendas unfolded: Environmental events were more likely to be concrete actions, whereas racist events were more likely to involve ""noisy"" rhetoric. The differing forms are not associated with particular levels of harm; rather, they suggest the unanticipated and complex ways in which racism intersects with environmental governance under neoliberal, authoritarian regimes. We argue that Trump's ""spectacular racism,"" characterized by sensational visibility, helps obscure the profound deregulation underway. The white nation plays a critical role, as Trump uses spectacular racism to nurture his base, consolidate his power, and implement his agenda. Such an analysis expands how environmental racism is typically conceptualized. Key Words: environmental deregulation, spectacular racism, Trump, white nation. [ABSTRACT FROM AUTHOR]","United States; United States politics & government; Trump; Trump, Donald, 1946-; Right-wing extremism; White nationalism; Climate change mitigation; Environmental policy; Environmental protection; nación blanca; Palabras clave: desregulación ambiental; racismo espectacular",SocIndex,69,,,,,,,
120,journalArticle,2017.0,"Wang, Feng; Mack, Elizabeth A.; Maciewjewski, Ross",Analyzing Entrepreneurial Social Networks with Big Data.,Annals of the American Association of Geographers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=119577837&site=ehost-live,"As we begin to understand who uses particular social media platforms, this user information represents a way forward for understanding the types of research questions for which big data might prove valuable. In this respect, the use of social media data for analyzing entrepreneurial networks represents a promising research domain. Not only does the user profile of social media users overlap substantially with the profile of entrepreneurs, but research highlights that the entrepreneurial process is a fundamentally networked activity. Given this research promise, this study analyzes digitally mediated interactions using Twitter data collected about a variety of actors engaged in entrepreneurial networks for the United States over an eighteen-month period. Analytical results reveal that the hashtags used in this analysis (#smallbiz and #entrepreneur) do capture (albeit not exhaustively) well-known actors in entrepreneurial networks, as well as important subtleties in the geography of locales engaged in these networks. The article closes with an agenda for big data research on entrepreneurship that highlights the important role of geographers in unraveling these networked geographies given the complexities of ground-truthing geographic information from big data sources. (English) [ABSTRACT FROM AUTHOR]",Social media; Big data; Social networks; big data; Internet; social networks; redes sociales; 大数据; empresariado; entrepreneurship; Entrepreneurship; geografías relacionales; Palabras clave: big data; relational geographies; 互联网; 关係地理; 创业精神; 社会网络,SocIndex,42,,,,,,,
