,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
426,journalArticle,2017.0,"Ray, Rashawn; Brown, Melissa; Laybourn, Wendy","The evolution of #BlackLivesMatter on Twitter: social movements, big data, and race.",Ethnic & Racial Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=123952409&site=ehost-live,"An introduction to this issue of ""Ethnic & Racial Studies,"" is presented.",Ethnicity; Ethnic & Racial Studies (Periodical),SocIndex,30,,,,,,,
427,journalArticle,2021.0,"Schertzer, R; Woods, ET",#Nationalism: the ethno-nationalist populism of Donald Trump's Twitter communication,ETHNIC AND RACIAL STUDIES,10.1080/01419870.2020.1713390,,"In this article, we explore the ethno-nationalist populism of Donald Trump's Twitter communication during the 2016 presidential campaign. We draw on insights from ethno-symbolism - a perspective within nationalism studies - to analyse all 5,515 tweets sent by Trump during the campaign. We find that ethno-nationalist and populist themes were by far the most important component of Trump's tweets, and that these themes built upon long-standing myths and symbols of an ethnic conception of American identity. In sum, Trump's tweets depicted a virtuous white majority being threatened by several groups of immoral outsiders, who were identified by their foreignness, their religion, and their self-interestedness. The struggle against these groups was framed as a mission to restore America to a mythical golden age - to ""Make America Great Again.""",SOCIAL MEDIA; Twitter; POLITICS; Nationalism; America; CLINTON; Donald Trump; ethnicity; populism; STYLE,WOS,45,,,,,,,
428,journalArticle,2017.0,"Ray, R; Brown, M; Fraistat, N; Summers, E","Ferguson and the death of Michael Brown on Twitter: #BlackLivesMatter, #TCOT, and the evolution of collective identities",ETHNIC AND RACIAL STUDIES,10.1080/01419870.2017.1335422,,"Recent events related to police brutality and the evolution of #BlackLivesMatter provides an empirical case to explore the vitality of social media data for social movements and the evolution of collective identities. Social media data provide a portal into how organizing and communicating generate narratives that survive over time. We analyse 31.65 million tweets about Ferguson across four meaningful time periods: the death of Michael Brown, the non-indictment of police officer Darren Wilson, the Department of Justice report on Ferguson, and the one year aftermath of Brown's death. Our analysis shows that #BlackLivesMatter evolved in concert with protests opposing police brutality occurring on the ground. We also show how #TCOT (Top Conservatives on Twitter) has operated as the primary counter narrative to #BlackLivesMatter. We conclude by discussing the implications our research has for the #BlackLivesMatter movement and increased political polarization following the election of Donald Trump.",MEDIA; social media; social movements; SOCIAL-MOVEMENTS; Race; #BlackLivesMatter; RACE,WOS,192,,,,,,,
429,journalArticle,2017.0,"Brown, M; Ray, R; Summers, E; Fraistat, N",#SayHerName: a case study of intersectional social media activism,ETHNIC AND RACIAL STUDIES,10.1080/01419870.2017.1334934,,"Social media activism presents sociologists with the opportunity to develop a deeper understanding of how groups form and sustain collective identities around political issues throughout the course of a social movement. This paper contributes to a growing body of sociological literature on social media by applying an intersectional framework to a content analysis of over 400,000 tweets related to #SayHerName. Our findings demonstrate that Twitter users who identified with #SayHerName engage in intersectional mobilization by highlighting Black women victims of police violence and giving attention to intersections with gender identity. #SayHerName is a dialogue that centres Black cisgender and transgender women victims of state-sanctioned violence. Additionally, #SayHerName is a space for highlighting Black women victims of non-police violence. Therefore, we propose that future research on social media activism should incorporate intersectionality as a basis for understanding the symbols and language of twenty-first century social movements.",social media; PROTEST; social movements; OCCUPY WALL-STREET; transgender; activism; Black women; #SayHerName; intersectionality; TWITTER; ETHNOGRAPHY,WOS,292,,,,,,,
430,journalArticle,2017.0,"Ince, J; Rojas, F; Davis, CA",The social media response to Black Lives Matter: how Twitter users interact with Black Lives Matter through hashtag use,ETHNIC AND RACIAL STUDIES,10.1080/01419870.2017.1334931,,"This paper focuses on the social media presence of Black Lives Matter (BLM). Specifically, we examine how social media users interact with BLM by using hashtags and thus modify the framing of the movement. We call this decentralized interaction with the movement ""distributed framing"". Empirically, we illustrate this idea with an analysis of 66,159 tweets that mention #BlackLivesMatter in 2014, when #BlackLivesMatter becomes prominent on social media. We also tally the other hashtags that appear with #BlackLivesMatter in order to measure how online communities influence the framing of the movement. We find that # BlackLivesMatter is associated with five types of hashtags. These hashtags mention solidarity or approval of the movement, refer to police violence, mention movement tactics, mention Ferguson, or express counter-movement sentiments. The paper concludes with hypotheses about the development of movement framings that can be addressed in future research.",social media; policing; social movements; online activism; MOVEMENTS; Framing; Black Lives Matter; DILEMMAS,WOS,363,,,,,,,
431,journalArticle,2017.0,"Byrd, WC; Gilbert, KL; Richardson, JB",The vitality of social media for establishing a research agenda on black lives and the movement,ETHNIC AND RACIAL STUDIES,10.1080/01419870.2017.1334937,,"Social media provides scholars with important portals into the lives of marginalized communities and the movements organized to combat issues of race and racism in society. However, how to incorporate the seemingly unwieldy amount of social media data for research in our fields can pose challenges to further clarify how people navigate our social world and the issues with in it, but also how they organize to push for social change and equality. In what follows, the authors discuss how social media data can be used to enhance our studies of black lives in reflection of the burgeoning Black Lives Matter movement on issues such as gun violence, public health, and higher education.",Twitter; social media; HEALTH; education; public health; Black Lives Matter; criminal justice,WOS,33,,,,,,,
432,journalArticle,2017.0,"Cox, JM",The source of a movement: making the case for social media as an informational source using Black Lives Matter,ETHNIC AND RACIAL STUDIES,10.1080/01419870.2017.1334935,,"Social media is growing as a technological and social phenomenon, with billions of people using it every day around the world. Given its increasing ubiquity, researchers continue to seek to understand social media and its implications for the social world. Part of the growing body of scholarship on social media includes uncovering the most effective methodologies for exploration that appropriately consider differences between the technology of social media and the ways in which people use them. New directions for social media research include the use of big data and analysing the socio-technical nature of social media. Using data from an ongoing study on college Millennials that includes questions about their thoughts on the Black Lives Matter movement, the author suggests another direction for future research: studying the implications of social media as an informational source.",Social media; CREDIBILITY; FACEBOOK; media; social movements; Black Lives Matter; TWITTER; college students; Millennials; REVOLUTIONS,WOS,114,,,,,,,
433,journalArticle,2022.0,"Leddy-Owen, C; Dennis, J; Siklodi, N","""Slaughterhouse cattle are treated better than this"": exploring the salience of everyday nationhood at British airports",ETHNIC AND RACIAL STUDIES,10.1080/01419870.2022.2109940,,"Questions remain about nationhood's everyday salience - that is, whether and how nationhood is engaged with by ""ordinary people"" undertaking routine activities. We present an innovative methodology for investigating everyday nationhood at the international border. We created a social media dataset of 1,083 ""tweets"" made during British airport border crossings, where nationhood might be expected to be particularly salient - especially during a period corresponding to post-referendum Brexit negotiations. We used content analysis to generate descriptive frequencies, before analysing these broad patterns in further detail via qualitative analysis. Nationhood is found to be largely absent, at least explicitly. A large majority focus on the contingencies of everyday life in highly individualist and consumer-oriented ways. The most common identification - ""non-EU"" - indicates border-crossing experiences framed by geopolitical inequalities, but only rarely by nationhood. One possible exception to the dominant patterns is a highly individualist, tacit manifestation of Britishness.",Brexit; nationalism; BREXIT; airports; borders; Everyday nationhood; national identity,WOS,0,,,,,,,
434,journalArticle,,"Pettersson, Katarina; Payotte, Sofia; Sakki, Inari",Harsh punisher or loving mother? A critical discursive psychological analysis of Marine Le Pen’s presidential Twitter campaign,Ethnicities,10.1177/14687968221148574,https://doi-org.ezproxy.lib.utexas.edu/10.1177/14687968221148574,"Marine Le Pen managed to mobilise a substantial share of the votes in the French 2022 presidential elections, ending up second after the winner Emmanuel Macron. This study aims to increase our understanding of the political appeal and mobilisation of women in far-right movements by exploring the identity management strategies Marine Le Pen deployed in her presidential Twitter campaign to construct her position as a female, right-wing populist political leader and rightful president of the nation. A corpus of 701 tweets (published between 4 July 2021 and 10 April 2022) from Le Pen’s official Twitter account were analysed through a critical discursive psychological approach. Through our analyses, we identified five subject positions that Le Pen constructed for herself in her discourse: the Protector, the Punisher, the Women’s Candidate, the Mother, and the Voice of Justice. Our findings show that through careful discursive negotiation between femininity and masculinity, Le Pen managed to engage in a dynamic positioning between a harsh candidate who punishes “the Other” and a compassionate and loving mother candidate who takes care of the nation’s children. This flexible way in which Marine Le Pen claimed different positions for herself may have been a central factor that enabled her to appeal to millions of voters in the 2022 French presidential elections. The study contributes to the literature on identity politics and the discursive mobilisation of gender by female far right political leaders.",,SAGE,0,,,,,,,
435,journalArticle,,"Postill, John",Democracy in an age of viral reality: A media epidemiography of Spain’s indignados movement,Ethnography,10.1177/1466138113502513,https://doi-org.ezproxy.lib.utexas.edu/10.1177/1466138113502513,"The present article draws from fieldwork on the indignados (or 15M) movement in Spain to propose a new approach to the study of protest movements in the digital era: “media epidemiography”. This composite of the terms “epidemiology” and “ethnography” is used as a heuristic to address the research challenge of today’s swiftly evolving techno-political terrains. I argue that viral media have played a key role in Spain’s indignados movement, with Twitter as the central site of propagation. Protesters have used Twitter and other viral platforms to great effect and in a range of different ways, including as a means of setting the tone and agenda of the protests, spreading slogans and organizational practices, and offering alternative accounts of the movement. These developments may signal the coming of an era in which political reality is shaped by viral contents “shared” by media professionals and amateurs – an age of viral reality.",,SAGE,0,,,,,,,
