,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
1511,journalArticle,2021.0,"O'Callaghan, Erin; Douglas, Hannah M.",#MeToo Online Disclosures: A Survivor-Informed Approach to Open Science Practices and Ethical Use of Social Media Data.,Psychology of Women Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=153688313&site=ehost-live,"With social media data widely available, researchers are increasingly incorporating tweets, posts, and blogs in their work. While easily accessible, the use of ""public"" posts raises important questions about the ethics of mining, storing, analyzing, and reporting publicly available social media data—especially when gathering sensitive information such as sexual violence disclosures. Online movements including #MeToo and #WhyIDidntReport emerged to shed light on gender-based violence. These movements generate large quantities of data with little consistency and oversight across research groups, disciplines, and review boards on data ethics. With the recent push in social science to publish data to open science databases, the concerns of feminist psychologists and ethical concerns of social media research with survivors have become more salient. In this article, we describe and address these ethical issues by reviewing existing social media sexual assault disclosure research and make concrete recommendations for authors seeking to use social media data. We also seek to address these ethical concerns by noting the work of some feminist researchers, but also by pushing researchers to do more for survivors through a survivor-informed approach to this research in an open science context. We propose four survivor-informed recommendations for research with this vulnerable population: (a) get input from survivors, (b) update ethics review boards, (c) maximize benefits to participants, and (d) utilize study-appropriate datasets with informed consent. [ABSTRACT FROM AUTHOR]",Social media; Sex crimes; sexual assault; Gender; Sexual harassment; Feminist criticism; Systematic reviews; Privacy; Violence; #MeToo; Access to information; Database management; Informed consent (Medical law); Medical ethics; open science; social media data; survivor-informed approach,SocIndex,11,,,,,,,
1512,journalArticle,2021.0,"Hughes, Adam G; McCabe, Stefan D; Hobbs, William R; Remy, Emma; Shah, Sono; Lazer, David M J",Using Administrative Records and Survey Data to Construct Samples of Tweeters and Tweets.,Public Opinion Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=152743638&site=ehost-live,"Social media data can provide new insights into political phenomena, but users do not always represent people, posts and accounts are not typically linked to demographic variables for use as statistical controls or in subgroup comparisons, and activities on social media can be difficult to interpret. For data scientists, adding demographic variables and comparisons to closed-ended survey responses have the potential to improve interpretations of inferences drawn from social media—for example, through comparisons of online expressions and survey responses, and by assessing associations with offline outcomes like voting. For survey methodologists, adding social media data to surveys allows for rich behavioral measurements, including comparisons of public expressions with attitudes elicited in a structured survey. Here, we evaluate two popular forms of linkages—administrative and survey—focusing on two questions: How does the method of creating a sample of Twitter users affect its behavioral and demographic profile? What are the relative advantages of each of these methods? Our analyses illustrate where and to what extent the sample based on administrative data diverges in demographic and partisan composition from surveyed Twitter users who report being registered to vote. Despite demographic differences, each linkage method results in behaviorally similar samples, especially in activity levels; however, conventionally sized surveys are likely to lack the statistical power to study subgroups and heterogeneity (e.g. comparing conversations of Democrats and Republicans) within even highly salient political topics. We conclude by developing general recommendations for researchers looking to study social media by linking accounts with external benchmark data sources. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Public opinion; Partisanship; Voters; Demographic characteristics,SocIndex,20,,,,,,,
1513,journalArticle,2018.0,"Pasek, Josh; Yan, H Yanna; Conrad, Frederick G; Newport, Frank; Marken, Stephanie",The Stability of Economic Correlations over TimeIdentifying Conditions under Which Survey Tracking Polls and Twitter Sentiment Yield Similar Conclusions.,Public Opinion Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=132533317&site=ehost-live,"Can Twitter data complement or supplement measures of economic confidence? This possibility was proposed in early work suggesting that sentiment surrounding the word ""jobs"" on Twitter closely tracked survey measures of consumer confidence. The current study uses knowledge of the processes generating Twitter data to develop and test hypotheses for when social media and survey data might align, and thus when social media processes may reflect survey measures. We expect and find the greatest correspondence when Twitter data were used to predict perceptions of recent societal economic change, rather than the aggregations of pocketbook economic experiences or reports of the state of the economy. In contrast to the concerns many scholars have raised about nonprobability data sources, the results suggest that correspondence between Twitter data and survey data did not depend on how similar Twitter users were to the population. Finally, we find evidence that the correspondences that did emerge were highly variable over time and appeared to be induced in the presence of economic volatility, suggesting that consistent long-scale trends may not be driven by consistent small-scale mechanisms. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Consumer confidence; Economic change; Nonprobability sampling; Occupations; Public opinion polls; Sensory perception; Social media -- Economic aspects,SocIndex,26,,,,,,,
1514,journalArticle,2021.0,"Wang, Xi; Zhang, Yang; Wang, Shangguan; Zhao, Kang",Migrant Inflows and Online Expressions of Regional Prejudice in China.,Public Opinion Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=152010074&site=ehost-live,"China started market-oriented reforms in the late 1970s, and a fundamental social change in post-reform China has been massive migration. The primary purpose of this research is to examine the effect of migrant inflows on online expressions of regional prejudice, which is defined as expressions of antipathy toward migrants. In particular, we examine the dynamics of expressions of regional prejudice on Weibo, a popular Twitter-like social media site in China. Furthermore, we explain online expressions of regional prejudice through the lens of the group-threat and contact theories, and seek potential conditions that facilitate the development of a positive relationship between local residents and migrants. Our findings lend strong support to the group-contact argument that migrant inflows reduce online expressions of regional prejudice in China. The contact effect is larger when migrant inflows are measured in terms of migrant labor and interprovince migrants, who represent China's typical migrants. Furthermore, the contact effect is only observed in relatively small cities, while a small threat effect is observed in mega and super-mega cities where the population-control system is strictly maintained. [ABSTRACT FROM AUTHOR]",Prejudices; Public opinion; China; Cities & towns; Migrant labor; Weibo (Web resource),SocIndex,2,,,,,,,
1515,journalArticle,2020.0,"Kraft, Patrick W; Krupnikov, Yanna; Milita, Kerri; Ryan, John Barry; Soroka, Stuart",Social Media and the Changing Information Environment: Sentiment Differences in Read Versus Recirculated News Content.,Public Opinion Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=145338238&site=ehost-live,"There is reason to believe that an increasing proportion of the news consumers receive is not from news producers directly but is recirculated through social network sites and email by ordinary citizens. This may produce some fundamental changes in the information environment, but the data to examine this possibility have thus far been relatively limited. In the current paper, we examine the changing information environment by leveraging a body of data on the frequency of (a) views, and recirculations through (b) Twitter, (c) Facebook, and (d) email of New York Times stories. We expect that the distribution of sentiment (positive-negative) in news stories will shift in a positive direction as we move from (a) to (d), based in large part on the literatures on self-presentation and imagined audiences. Our findings support this expectation and have important implications for the information contexts increasingly shaping public opinion. [ABSTRACT FROM AUTHOR]","Social media; Twitter (Web resource); Facebook (Web resource); News consumption; Political attitudes; Information sharing; Email; New York Times, The (Newspaper)",SocIndex,23,,,,,,,
1516,journalArticle,2020.0,"Kosmidis, Spyros; Theocharis, Yannis",Can Social Media Incivility Induce Enthusiasm? Evidence from Survey Experiments.,Public Opinion Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=145338237&site=ehost-live,"Most studies of online incivility report negative effects on attitudes and behaviors of both the victims and the audiences who are exposed to it. But while we have extensive insights about the attitudinal and behavioral consequences of incivility, less emphasis has been paid on its emotional effects. We conduct a series of survey experiments using statements posted on Twitter by elite actors along with the comments they receive and measure the emotional reactions of the public in relation to the content of the original post. We find that when the raw information is accompanied by uncivil commentary (compared to civil or no commentary), respondents express higher levels of positive and lower levels of negative emotions. Further analysis of heterogeneous effects focusing on partisanship shows that the effects are primarily driven by those who are generally expected to agree with the expert's claim. The broader consequences of incivility as entertainment on social media platforms are discussed. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Partisanship; Courtesy; Internet users; Enthusiasm,SocIndex,19,,,,,,,
1517,journalArticle,2020.0,"Carr, Isla A. Schuchs; Sibila, Deborah A.; Rauhaus, Beth M.",Trump's Twitter Tales: Policy Implications of Stories of Crime and Crisis Along the Southwest Border.,Public Voices,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=146576321&site=ehost-live,"Since before he took office, United States President Donald J. Trump has depicted the U.S.- Mexico border as a dangerous region whose safety, as well as that of the rest of the country, would be greatly improved by building a wall between the two countries. The authors of this article explore Trump's narrative framing of the Southwest border and the wall, as expressed on his official Twitter account surrounding his January 2019 visit to the U.S.- Mexico border near McAllen, Texas. They use content analysis to compare his stories of the border to the area's official crime statistics and local newspaper coverage around the president's visit. The authors further examine how his use of negative political framing impacts governing, immigration policy, increasing militarization of the Southwest border, and the unfolding narrative of what it means to be an American. [ABSTRACT FROM AUTHOR]","Presidents of the United States; Trump, Donald, 1946-; Mexico; Border barriers; Borderlands; Crime statistics; Immigration policy; McAllen (Tex.); Mystery fiction",SocIndex,2,,,,,,,
1518,journalArticle,,"Ugwudike, Pamela; Fleming, Jenny","Artificial intelligence, digital capital, and epistemic domination on Twitter: A study of families affected by imprisonment",Punishment & Society,10.1177/14624745211014391,https://doi-org.ezproxy.lib.utexas.edu/10.1177/14624745211014391,"Online Social Networking Sites (SNSs) and other Artificial Intelligence (AI) systems are transforming the epistemological foundations of justice systems and influencing knowledge production concerning criminal justice and its impact. This article focuses on a dimension of criminal justice which is the impact of imprisonment on families and seeks to unravel how knowledge about this problem is produced on SNSs. To this end, it draws on a study that explored conversational networks of key stakeholders on the SNS, Twitter. Building on insights from the study, the paper unravels interdependent sociotechnical dynamics that reproduce the offline marginality of affected families and operate as barriers to equitable knowledge production. Through its analysis of the dynamics, the paper provides new insights and advances the sparse criminological scholarship on the intersections of AI systems and the delivery of justice. It specifically highlights exclusionary epistemic processes that are fomented by the infrastructure of AI systems and the social contexts in which they are deployed.",,SAGE,3,,,,,,,
1519,journalArticle,2018.0,"Niccolini, Alyssa D.; Lesko, Nancy",Algorithmic Noise: Ed Reform 2.0 and Work/Think/Playing With Methods of the Present.,Qualitative Inquiry,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=132435762&site=ehost-live,"As we become more and more algorithmic subjects, algorithms shape the news we access, our political and social views, how and what we buy, as well as the emotional tenor of our lives. Tracking how algorithms work on and with our senses and activate our bodies in different ways requires experimental approaches. To explore affect, algorithms, and method, we work/think/play via two reassemblages of algorithmic tools borrowed from the corporate and art worlds: Moodlens and the Listening Machine. Our algorithmic play with educational reformers’ images and tweets suggests a strategy for fattening our methods and theories to respond to ever-increasing data flows and thinking additively, fractally, and exponentially. [ABSTRACT FROM AUTHOR]","Social media; Twitter; Communication; Emotions; social media; algorithms; affect; Artificial intelligence; DeVos, Betsy, 1958-; education reform",SocIndex,5,,,,,,,
1520,journalArticle,2021.0,"Wilson, AN",Learning to see with Deleuze: understanding affective responses in image-viewer research assemblages,QUALITATIVE RESEARCH,10.1177/1468794120946979,,"I describe an approach to analysing the affective flows produced in sociomaterial assemblages of visual images and humans in research processes. The approach combines Deleuzian understandings of repetition and difference, and of lines of articulation and flight, with interpretative techniques drawn from visual social semiotics. I use examples from my research into images shared by professionals on Twitter to illustrate how this approach can reveal not only the forces, intensities and hidden logics that lead to particular responses, but also the ways in which these responses impact on research decisions and interpretations.",methodology; reflexivity; TWITTER; Assemblage; Deleuze; sociomaterialism; visual sociology,WOS,3,,,,,,,
