Publication Venue,Count
Anthropologica,1
Journal of Democracy,4
Law & Society,2
Conference Papers -- American Sociological Association,47
Celebrity Studies,37
"Information, Communication & Society",192
Human Technology,2
Sociology Compass,12
Youth Studies Australia,1
"International Journal of Diversity in Organisations, Communities & Nations",1
"Media, Culture & Society",37
"Work, Employment & Society",1
Social Alternatives,3
Methodological Innovations Online,1
Newspaper Research Journal,21
Surveillance & Society,7
Social Science Information,5
e-Journal of Social & Behavioural Research in Business,1
Use Of Social Media As A New Communication Tool: The Case Of Konya Woman Associations.,1
Social Networks,13
Sociolinguistica,1
Addiction,4
New Media & Society,134
Journal of the American Geriatrics Society,10
Journal of Cultural Economy,1
"Social Studies of Science (Sage Publications, Ltd.)",3
Journal of Baccalaureate Social Work,4
Quality & Quantity,23
Journal of Youth Studies,1
Ethnography,1
Rassegna Italiana di Sociologia,3
Journal of Addictive Diseases,6
Journal of Artificial Societies & Social Simulation,1
Sociolinguistic Studies,1
Social Semiotics,10
Women's Studies International Forum,3
Humanity & Society,2
Contemporary Drug Problems,1
Communication and the Public,10
Sociological Review,7
Irish Studies Review,2
Journal of Public Health Policy,2
"Theory, Culture & Society",3
Social & Cultural Geography,1
International Academic Conference on Social Sciences,1
Sociological Methods & Research,5
QUALITATIVE RESEARCH,2
"Politics, Culture & Socialization",2
Contemporary French & Francophone Studies,4
"IDENTITY, SEXUALITY, AND RELATIONSHIPS AMONG EMERGING ADULTS IN THE DIGITAL AGE",1
National Social Science Journal,1
SOCIAL SCIENCE RESEARCH,4
‘Društvena istraživanja: časopis za opća društvena pitanja,1
International Journal of Organization Theory & Behavior (PrAcademics Press),1
MOBILIZATION,5
JOURNAL OF CONSUMER CULTURE,1
Oracle: The Research Journal of the Association of Fraternity/Sorority Advisors,2
Journal of Behavioral & Social Sciences,2
"I-LanD Journal - Identity, Language & Diversity",5
Mortality,1
"Media, War & Conflict",14
Gender & Development,1
Information Society,5
Child Welfare,1
Teorija in Praksa,2
Mass Communication & Society,19
Socius,7
NETWORK SCIENCE,1
Forschungsjournal Soziale Bewegungen,2
Papers in Applied Geography,1
Studies in Conflict & Terrorism,13
EUROPEAN SOCIETIES,3
American Journal of Public Health,31
Columbia Human Rights Law Review,3
Journal of Popular Culture,1
ANDULI,1
"International Journal of Politics, Culture & Society",4
METHAODOS-REVISTA DE CIENCIAS SOCIALES,1
LATINO STUDIES,1
"Scientific Annals of the 'Al. I. Cuza' University, Iasi. Sociology & Social Work / Analele Stiintifice ale Universitatii 'Al. I. Cuza' Iasi Sociologie si Asistenta Sociala",1
GENEALOGY,3
"Urban Studies (Sage Publications, Ltd.)",3
SOCIAL INDICATORS RESEARCH,12
Pakistan Vision,1
European Review,2
Revista Espanola de Investigaciones Sociologicas,4
Sociologia Italiana,1
International Review of Sociology,5
Tourist Studies,1
Discourse: Studies in the Cultural Politics of Education,2
SOCIETIES,6
Justice Policy Journal,1
Journal of the Society for Social Work & Research,1
International Journal of Social Research Methodology,6
Journal of Politics in Latin America,1
Revista Universitară de Sociologie,1
MCS-MASCULINITIES AND SOCIAL CHANGE,1
Journal of Political & Military Sociology,1
Race & Class,1
Journal of Social & Personal Relationships,2
"Child: Care, Health & Development",1
"MDA - Methoden, Daten, Analysen",1
Journal of the Royal Anthropological Institute,1
Asian & Pacific Migration Journal (Sage Publications Inc.),1
Politics & Gender,5
Sociological Quarterly,1
Social Science & Medicine,19
Canadian Slavonic Papers,1
Memory Studies,5
Sociology,8
Health Promotion Practice,9
