,Unnamed: 0.1,Unnamed: 0,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Original Citation
30,76,265,journalArticle,2019.0,"Wright, Jared M.; Goldwasser, Dan; Mansingka, Aviral Sandeep; Husain, Ammar",Drive-By Solidarity: Online Relationships between Twitter Campaigns of #OpKKK and #BlackLivesMatter.,Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=141310369&site=ehost-live,"How can short term, strategic campaigns be a basis for solidarity? This paper offers a theoretical and empirical exploration of a less-frequently discussed form of solidarity between two diverse campaigns; one based less on shared identity and more on shared values; one that is aimed less at persistence and more at short-term impact. Building upon earlier conceptual work (Wright et al. 2018), we call this form drive-by solidarity because of its one-way, unsolicited, hit-and-run nature. This paper examines drive-by solidarity through case of Anonymous' ""Operation KKK"" (#OpKKK), an online hacktivist campaign against the Ku Klux Klan carried out in response to threats of violence they made against #BlackLivesMatter protesters in Ferguson, Missouri, in November 2014. After constructing a timeline of events from available news stories and videos for context, we use over three million tweets to conduct a series of network analyses to model the most significant online accounts associated with each campaign as well as the connections built across the respective online discursive spheres through retweets and mentions. We graph both the period of the 2014 #OpKKK campaign, along with its revival one year later, in order to empirically examine the short- and long-term effects. Although Anonymous acted unilaterally and made no efforts to be inclusive of #BlackLivesMatter activists in their deliberations, the campaigns became politically coordinated. #OpKKK successfully achieved its initial goals; however, longer-term effects were more volatile. This form of solidarity is theoretically compelling because it seems to challenge much extant theory on the role of identity in building solidarities, and even forces us to rethink social movement success. Furthermore, we propose that drive-by solidarity could offer a possible model for other movements seeking high-impact, low cost, short-term campaigns. [ABSTRACT FROM AUTHOR]",Social movements; Ferguson (Mo.); Online identities; Solidarity; Role theory; Ku Klux Klan (19th century); Threats of violence,SocIndex,N/A,,,,,,,,0
31,85,491,journalArticle,2020.0,"Richards, S",Everybody's Child: An Exploration of Images of Children that Shocked the World,GENEALOGY,10.3390/genealogy4030073,,"Despite the passivity and vulnerability of childhood as a social construction, the image of the child is both powerful and transformative. Such is the power of images of the child they can and have shaped the history of nation states, shifted policy and become emblematic of a cry for change. In journalism, filmmaking, and news media the child can become the symbol of a nation, a conflict, a tragedy and the failure of policy, or indeed the adult world, to care and protect childhood itself. Using evocative images from across the 20th and 21st century, this paper interrogates how idealised notions of childhood become focal and challenged by images which reveal the death, deprivation and destruction of children. The image of 3-year-old Alan Kurdi's body on a Turkish Beach in 2015 resonated around the world. It became the biggest trending photo on Twitter within 24 h and graced the front of hundreds of global newspapers the following day. It also demanded a political response, as presidents and prime ministers scrambled to hold press conferences and generate policy to respond to the Syrian and wider so-called Mediterranean crisis. This is just a recent example in a long line of iconic images of 'the child' that have shaped policy and shifted hearts and minds. The power and influence of these photographs is traced here to highlight where the discursive vulnerability of a single child becomes emblematic of the failures of the powerful: adults, governments, nation states, and global governance. Using the examples of famine stricken South Sudan (1993) and the 'migrant crisis' of the Mediterranean Sea (2015), how these hitherto anonymous children briefly become everybody's child is explored here.",media; images; photographs; childhood; social construction,WOS,N/A,,,,,,,,0
32,89,357,journalArticle,2022.0,"Cataldo, Rosanna; Punziano, Gabriella; Saracino, Barbara; Iazzetta, Ferdinando","Expert construction during the Italian vaccination campaign against COVID-19: positional, reputational, and communicational spheres in comparison.",Culture e studi del sociale,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160518002&site=ehost-live,"The purpose of this article is to understand what mechanism leads specific actors of the scientific community to assume the central role of experts during the COVID-19 pandemic vaccination campaign. Thanks to the understanding of the world of narratives and self-constructed representations we will try to understand if the figure of the expert is influenced by the institutional role they play, the network of collaborations and the academic network as a proxy of their reputation and, finally, what figure emerges instead from the mainstream media such as the press and social networks such as Facebook and Twitter. [ABSTRACT FROM AUTHOR]",COVID-19; COVID-19 pandemic; Online social networks; Vaccination; COVID-19 vaccines; media representation; COVID-19 vaccination campaign; Spheres; visible expert,SocIndex,N/A,,,,,,,,0
33,91,24,journalArticle,2023.0,"O'Shields, Jay; Baldwin-White, Adrienne",Exploring the Role of Social Networking Sites in Alcohol Consumption among College Students: Which Platforms Have the Greatest Influence?,Alcoholism Treatment Quarterly,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160588584&site=ehost-live,"Excessive alcohol use among college students is associated with a host of deleterious physical, mental, and academic outcomes. Social Networking Sites (SNS) are thought to influence norms around alcohol consumption, leading to increased college student drinking. We utilized a sample of 330 college students to investigate the effects of Facebook, Instagram, Twitter, and Snapchat on college student drinking behavior. Only Snapchat use was associated with college student drinking even while controlling for confounders such as the amount of time spent on SNS. Interventions attempting to lower college student drinking should focus on Snapchat to have the most effective platform. [ABSTRACT FROM AUTHOR]",World Wide Web; Social networks; Twitter (Web resource); Facebook (Web resource); Risk assessment; Social norms; Alcohol drinking in college; Alcohol Use; College Students; Drinking behavior; Psychology of college students; Snapchat; Social Networking Sites,SocIndex,N/A,,,,,,,,0
34,92,1268,journalArticle,,"Lee, Soomin; Cockburn, Lynn; Nganji, Julius T.",Exploring the use of #MyAnglophoneCrisisStory on Twitter to understand the impacts of the Cameroon Anglophone Crisis,"Media, War & Conflict",10.1177/17506352221103487,https://doi-org.ezproxy.lib.utexas.edu/10.1177/17506352221103487,"Since October 2016, Cameroon has been involved in a violent conflict known as the Anglophone Crisis. This study examines the impact of the hashtag #MyAnglophoneCrisisStory on Twitter in capturing and amplifying the stories of people affected by the crisis. Using R, the authors extracted and analyzed tweets using this hashtag that were posted between 21 October 2020 and 3 November 2020. Only tweets posted in English and French languages were included. To understand the content of the tweets, the authors inductively coded and manually analyzed a total of 1064 tweets, replies, and comments. A categorical analysis revealed the presence of three different types of tweets: “Story”, “Response to Story”, and “Awareness and Advocacy”. The “Story” category had four distinct themes: (1) Senseless Loss of Life: Shot and Killed; (2) The Disappeared: Lost and Kidnapped; (3) On the Move/Elusive Safety: Escape, Displacement; and (4) Prevention and Trauma, Mental Health, and Post Traumatic Stress Disorder. This study supports the concept that even short tweets can have a significant impact and signals the need for more attention and research on this overlooked conflict. Future work can involve the use of more advanced analysis tools to conduct a more thorough examination of tweets.",,SAGE,4,,,,,,,,0
35,95,1066,journalArticle,2022.0,"Banks, Isabella",Facilitating #dialogue or #buildingsupport? An Exploration of the International Criminal Court's Use of 280 Characters.,Journal of International Criminal Justice,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=157620376&site=ehost-live,"This systematic study of the International Criminal Court (ICC)'s stakeholder communication on Twitter brings attention to the largely unexamined phenomenon of the ICC's active presence on social media. It answers the following research question: 'To what extent has the ICC used Twitter to facilitate dialogue and exchange with its stakeholders as opposed to one-way information provision?' Literary research and the descriptive analysis of 1,712 tweets and retweets published by @IntlCrimCourt between November 2017 and June 2019 reveal that the ICC primarily used Twitter to provide information and build support among its most powerful stakeholders. Notwithstanding its stated commitment to two-way stakeholder communication, the ICC made little to no effort to solicit feedback or generate dialogue on Twitter. These findings reveal the opportunities and limitations of Twitter as a mechanism to communicate with stakeholders and highlight the difficult position the ICC finds itself in as an international judicial institution dependent on state support. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Twitter Inc.; International Criminal Court; Literary research; Stakeholder analysis,SocIndex,N/A,,,,,,,,0
36,97,823,journalArticle,2022.0,"Rohlinger, Deana A.; Allen, Warren; DeLucchi, Caitria",Framing dynamics and claimsmaking after the Parkland shooting.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=156580708&site=ehost-live,"This paper unpacks how dynamic political and media systems shape the kinds of frames political actors champion, when and how they express support for frames and the implications of both for individual claimsmaking. To do so, we conduct a rigorous qualitative analysis of discourse during a two-week period in which the Florida legislature considered and passed the Marjory Stoneman Douglas High School Public Safety Act after a shooter killed 17 people in Parkland, Florida. We systematically explore how two framing dynamics – competition and amplification – shape what frames political actors champion and the relative effects of these dynamics on individual claimsmaking in 438 letters to the editor and op-eds appearing in mainstream outlets, 4,962 emails sent to Florida Governor Rick Scott, and 1,000 tweets. We find that amplification and competition shape the relative visibility of frames and the frequency with which individuals use these frames in their claimsmaking. Generally speaking, gun control and progressive groups selectively amplified frames associated with the emerging, student-led Never Again Marjory Stoneman Douglas movement and legislative frames that were consistent with their goals. This seems to have increased the visibility of these ideas in mainstream outlets and influenced claimsmaking insofar as individuals drew on amplified frames across the forums relatively frequently. This was not true of frames opposing gun control. Gun rights groups bickered with politicians and among themselves. As a result, gun rights frames were less prevalent in mainstream discourse and in individual claimsmaking. [ABSTRACT FROM AUTHOR]","framing; Discourse analysis; Frames (Social sciences); politics; Mass media & politics; claimsmaking; Social Movements; Florida; gun control; Gun control; Gun laws; gun rights; Scott, Rick, 1952-",SocIndex,N/A,,,,,,,,0
37,101,190,journalArticle,2021.0,"Chin, Bertha",From 'stay home' to #TakeOutHate: Asian-American and Southeast Asian celebrities in the pandemic.,Celebrity Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=152788732&site=ehost-live,"Southeast Asian celebrities such as Iko Uwais ( I Star Wars: The Force Awakens i [10]) and Joe Taslim ( I Star Trek Beyond i [9]) utilise the same social media platforms including Instagram and Twitter to maintain their public celebrity profiles. While the mention of politics and COVID-19 related racism is absent in Taslim's feed, the social media feeds of Asian-American celebrities present a different narrative. Indeed, rather than signalling the demise of celebrity culture, these interactions offer us a non-homogenous reading of celebrity and fan cultures; one that is not merely focused on white celebrities. [Extracted from the article]",Stay-at-home orders; Racism; Black people; Black Lives Matter movement; Celebrities; Pandemics; Social distancing; Celebrity couples,SocIndex,N/A,,,,,,,,0
38,102,1108,journalArticle,2022.0,"Parrish, Danielle E.",From the Editor—Academic Freedom: Considerations for Social Work Academic Twitter.,Journal of Social Work Education,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=156709495&site=ehost-live,An editorial is presented on COVID-19 and the racism and systemic disparities in the society. Topics include academic freedom mostly continued for insulating universities from various political entities with the free speech of scholars protected within the university; and upholding the principles of academic freedom while engaging in the critical examination.,Social media; Twitter (Web resource); Social work education; Public health; Social workers; Academic achievement; Health equity; Institutional racism; Serial publications,SocIndex,N/A,,,,,,,,0
39,103,219,journalArticle,2018.0,"Mallon, Gerald P.",From the Editor: Thriving Rather than Tweeting.,Child Welfare,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=131357340&site=ehost-live,"An introduction is provided to articles within the issue on the theme of child welfare policy and practices with topics, including youth in foster care, reporting requirements for the U.S. Child Abuse Prevention and Treatment Act and mental health treatment.",Psychology; Child welfare policy; Mental health services; United States. Child Abuse Prevention & Treatment Act,SocIndex,N/A,,,,,,,,0
