Row,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
895,journalArticle,2012,"boyd, danah; Crawford, Kate",CRITICAL QUESTIONS FOR BIG DATA.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=76143001&site=ehost-live,"The era of Big Data has begun. Computer scientists, physicists, economists, mathematicians, political scientists, bio-informaticists, sociologists, and other scholars are clamoring for access to the massive quantities of information produced by and about people, things, and their interactions. Diverse groups argue about the potential benefits and costs of analyzing genetic sequences, social media interactions, health records, phone logs, government records, and other digital traces left by people. Significant questions emerge. Will large-scale search data help us create better tools, services, and public goods? Or will it usher in a new wave of privacy incursions and invasive marketing? Will data analytics help us understand online communities and political movements? Or will it be used to track protesters and suppress speech? Will it transform how we study human communication and culture, or narrow the palette of research options and alter what ‘research’ means? Given the rise of Big Data as a socio-technical phenomenon, we argue that it is necessary to critically interrogate its assumptions and biases. In this article, we offer six provocations to spark conversations about the issues of Big Data: a cultural, technological, and scholarly phenomenon that rests on the interplay of technology, analysis, and mythology that provokes extensive utopian and dystopian rhetoric. [ABSTRACT FROM AUTHOR]",Big Data; Twitter; social media; Digital technology; Digital communications; social network sites; Social scientists; communication studies; ethics; epistemology; analytics; philosophy of science; Behavioral scientists; Economists,SocIndex,5881,,,,,,,
1320,journalArticle,2011,"Marwick, Alice E.; Boyd, Danah","I tweet honestly, I tweet passionately: Twitter users, context collapse, and the imagined audience.",New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=58584223&site=ehost-live,"Social media technologies collapse multiple audiences into single contexts, making it difficult for people to use the same techniques online that they do to handle multiplicity in face-to-face conversation. This article investigates how content producers navigate ‘imagined audiences’ on Twitter. We talked with participants who have different types of followings to understand their techniques, including targeting different audiences, concealing subjects, and maintaining authenticity. Some techniques of audience management resemble the practices of ‘micro-celebrity’ and personal branding, both strategic self-commodification. Our model of the networked audience assumes a many-to-many communication through which individuals conceptualize an imagined audience evoked through their tweets. [ABSTRACT FROM PUBLISHER]",Social media; Twitter Inc.; Microblogs; Twitter; identity; social media; Social interaction; Internet users; audience; context; micro-celebrity; self-presentation; Self-presentation,SocIndex,5268,,,,,,,
269,journalArticle,2015,"Stevenson, Amanda Jean",Crucible of conflict: Emotions and Texas abortion rights organizing on Twitter.,Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=111786064&site=ehost-live,"Applying data and methods from computer science, I address questions regarding the role of emotions and frames in social movement engagement. Focusing on the social movement formed in response to Texas' restrictive 2013 abortion law, I draw on 1.66 million tweets from the online conversation regarding the bill, representing 399,081 users. Having collected these users' social networks, I examine the effect of the level of positive or negative sentiment in users' networks on their subsequent participation. I also examine the impact of users' own emotions on their subsequent engagement. Further, I examine the emotional trajectories of movement elites to differentiate between emotional trajectories of elites who adopt reproductive justice frames and those who do not. Classifying tweets and users based on their orientation with respect to the bill and abortion rights, I also argue that massive discussions online may present social scientists with a new way to study responses to social policy. [ABSTRACT FROM AUTHOR]",,SocIndex,1520,,,,,,,
64,journalArticle,2015,"BONILLA, YARIMAR; ROSA, JONATHAN","#Ferguson: Digital protest, hashtag ethnography, and the racial politics of social media in the United States.",American Ethnologist,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=101004179&site=ehost-live,"ABSTRACT As thousands of demonstrators took to the streets of Ferguson, Missouri, to protest the fatal police shooting of unarmed African American teenager Michael Brown in the summer of 2014, news and commentary on the shooting, the protests, and the militarized response that followed circulated widely through social media networks. Through a theorization of hashtag usage, we discuss how and why social media platforms have become powerful sites for documenting and challenging episodes of police brutality and the misrepresentation of racialized bodies in mainstream media. We show how engaging in 'hashtag activism' can forge a shared political temporality, and, additionally, we examine how social media platforms can provide strategic outlets for contesting and reimagining the materiality of racialized bodies. Our analysis combines approaches from linguistic anthropology and social movements research to investigate the semiotics of digital protest and to interrogate both the possibilities and the pitfalls of engaging in 'hashtag ethnography.' [ABSTRACT FROM AUTHOR]","Social media; digital activism; Twitter; United States; social media; Public demonstrations; social movements; Ferguson (Mo.); race; Police brutality; Brown, Michael, 1996-2014; Michael Brown; Ethnology; semiotics; Police shootings; digital anthropology; Missouri",SocIndex,1408,,,,,,,
77,journalArticle,2018,"Broniatowski, David A.; Jamison, Amelia M.; Qi, SiHua; AlKulaib, Lulwah; Chen, Tao; Benton, Adrian; Quinn, Sandra C.; Dredze, Mark",Weaponized Health Communication: Twitter Bots and Russian Trolls Amplify the Vaccine Debate.,American Journal of Public Health,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=131743272&site=ehost-live,"Objectives. To understand how Twitter bots and trolls (“bots”) promote online health content. Methods. We compared bots’ to average users’ rates of vaccine-relevant messages, which we collected online from July 2014 through September 2017. We estimated the likelihood that users were bots, comparing proportions of polarized and antivaccine tweets across user types. We conducted a content analysis of a Twitter hashtag associated with Russian troll activity. Results. Compared with average users, Russian trolls (χ2(1) = 102.0; P < .001), sophisticated bots (χ2(1) = 28.6; P< .001), and “content polluters” (χ2(1) = 7.0; P<.001) tweeted about vaccination at higher rates. Whereas content polluters posted more antivaccine content (χ2(1) = 11.18; P< .001), Russian trolls amplified both sides. Unidentifiable accounts were more polarized (χ2(1) = 12.1; P< .001) and antivaccine (χ2(1) = 35.9; P< .001). Analysis of the Russian troll hashtag showed that its messages were more political and divisive. Conclusions. Whereas bots that spread malware and unsolicited content disseminated antivaccine messages, Russian trolls promoted discord. Accounts masquerading as legitimate users create false equivalency, eroding public consensus on vaccination. Public Health Implications. Directly confronting vaccine skeptics enables bots to legitimize the vaccine debate. More research is needed to determine how best to combat bot-driven content. [ABSTRACT FROM AUTHOR]",Anti-vaccination movement; Chi-squared test; Health information services; Immunization; Medicine information services; Population geography; Practical politics; Probability theory; Robotics; Russia; Social media; World Wide Web,SocIndex,956,,,,,,,
45,journalArticle,2011,"Gruzd, Anatoliy; Wellman, Barry; Takhteyev, Yuri",Imagining Twitter as an Imagined Community.,American Behavioral Scientist,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=65438694&site=ehost-live,"The notion of “community” has often been caught between concrete social relationships and imagined sets of people perceived to be similar. The rise of the Internet has refocused our attention on this ongoing tension. The Internet has enabled people who know each other to use social media, from e-mail to Facebook, to interact without meeting physically. Into this mix came Twitter, an asymmetric microblogging service: If you follow me, I do not have to follow you. This means that connections on Twitter depend less on in-person contact, as many users have more followers than they know. Yet there is a possibility that Twitter can form the basis of interlinked personal communities—and even of a sense of community. This analysis of one person’s Twitter network shows that it is the basis for a real community, even though Twitter was not designed to support the development of online communities. Studying Twitter is useful for understanding how people use new communication technologies to form new social connections and maintain existing ones. [ABSTRACT FROM PUBLISHER]",Social media; Microblogs; Information dissemination; Group identity; Online social networks; Virtual communities; Internet; Regression analysis; social networks; online communities; Communication in learning & scholarship; Data modeling; Email; Information & communication technologies; information and communication technology; knowledge dissemination; scholarly communication,SocIndex,929,,,,,,,
876,journalArticle,2017,"Engesser, Sven; Ernst, Nicole; Esser, Frank; Büchel, Florin",Populism and social media: how politicians spread a fragmented ideology.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=122728189&site=ehost-live,"Populism is a relevant but contested concept in political communication research. It has been well-researched in political manifestos and the mass media. The present study focuses on another part of the hybrid media system and explores how politicians in four countries (AT, CH, IT, UK) use Facebook and Twitter for populist purposes. Five key elements of populism are derived from the literature: emphasizing the sovereignty of the people, advocating for the people, attacking the elite, ostracizing others, and invoking the ‘heartland’. A qualitative text analysis reveals that populism manifests itself in a fragmented form on social media. Populist statements can be found across countries, parties, and politicians’ status levels. While a broad range of politicians advocate for the people, attacks on the economic elite are preferred by left-wing populists. Attacks on the media elite and ostracism of others, however, are predominantly conducted by right-wing speakers. Overall, the paper provides an in-depth analysis of populism on social media. It shows that social media give the populist actors the freedom to articulate their ideology and spread their messages. The paper also contributes to a refined conceptualization and measurement of populism in future studies. [ABSTRACT FROM AUTHOR]",Social media; ideology; social media; Populism; Political doctrines; Political elites; politics; Demagogues; qualitative text analysis,SocIndex,926,,,,,,,
1361,journalArticle,2011,"Zappavigna, Michele",Ambient affiliation: A linguistic perspective on Twitter.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=63648236&site=ehost-live,"The article investigates how language is employed to create community with the microblogging service, Twitter. It uses the Systemic Functional Linguistic (SFL) to analyze the structure and meaning of tweets or posts to Twitter in 45,000 tweets accumulated in the 24 hours following the announcement of Barack Obama's win in the 2008 U.S. presidential elections. It demonstrates how a typographic convention, the hashtag, has broadened its meaning potential to function as a linguistic market referencing the target of evaluation in a tweet.",Social media; Microblogs; United States; Online social networks; Virtual communities; Linguistics,SocIndex,919,,,,,,,
1395,journalArticle,2012,"Larsson, Anders Olof; Moe, Hallvard",Studying political microblogging: Twitter users in the 2010 Swedish election campaign.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=77758208&site=ehost-live,"The article presents information on the microblogging services that allow their users to update their current status through short posts. It informs that Twitter is among the most popular microblogging services and increasingly used in a variety of contexts. It further informs that the Twitter web resource was used, during 2010 Swedish elections by the politicians for online campaigning and deliberation. It is stated that Twitter is still believed less effective in case of democracy as compared to other web tools.",Twitter (Web resource); Microblogs; Political campaigns; Politicians; Democracy; Sweden; COMPUTER network resources; Blogs; Deliberation; Linguistic context,SocIndex,873,,,,,,,
1988,journalArticle,2015,"Klausen, Jytte",Tweeting the Jihad : Social Media Networks of Western Foreign Fighters in Syria and Iraq.,Studies in Conflict & Terrorism,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=100071654&site=ehost-live,"Social media have played an essential role in the jihadists’ operational strategy in Syria and Iraq, and beyond. Twitter in particular has been used to drive communications over other social media platforms. Twitter streams from the insurgency may give the illusion of authenticity, as a spontaneous activity of a generation accustomed to using their cell phones for self-publication, but to what extent is access and content controlled? Over a period of three months, from January through March 2014, information was collected from the Twitter accounts of 59 Western-origin fighters known to be in Syria. Using a snowball method, the 59 starter accounts were used to collect data about the most popular accounts in the network-at-large. Social network analysis on the data collated about Twitter users in the Western Syria-based fighters points to the controlling role played by feeder accounts belonging to terrorist organizations in the insurgency zone, and by Europe-based organizational accounts associated with the banned British organization, Al Muhajiroun, and in particular the London-based preacher, Anjem Choudary. [ABSTRACT FROM PUBLISHER]",Social media; Twitter (Web resource); Microblogs; Social network analysis; Online social networks; Islamic State (Organization); Terrorism; Mujahideen; Propaganda; Computer network resources; Internet & terrorism; Insurgency; Syria; Terrorists,SocIndex,860,,,,,,,
